time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,time/time_elapsed,time/fps,train/approx_kl,train/learning_rate,train/std,train/explained_variance,train/clip_range,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/policy_gradient_loss,train/loss
1441792,929.6539306640625,44,800.0,289,4985,0.034552507,0.00015,0.17906716465950012,0.9335371851921082,0.2,0.3842926025390625,6.330044270803531,0.03567218997826179,258,-0.0034670854432382234,0.010885024443268776
1474560,932.773681640625,45,800.0,295,4983,0.034239024,0.00015,0.17883557081222534,0.9398707151412964,0.2,0.3803304036458333,6.34084618712465,0.027171201894816477,264,-0.004677551514760125,-0.0029723793268203735
1507328,919.780517578125,46,800.0,302,4985,0.033600394,0.00015,0.17885763943195343,0.940697193145752,0.2,0.3807729085286458,6.350329457471768,0.03299938938774479,270,-0.0038653659212286584,0.006983857601881027
1540096,916.9728393554688,47,796.0,308,4987,0.032974962,0.00015,0.17901435494422913,0.9434554576873779,0.2,0.3749898274739583,6.338341260949771,0.03234432951042739,276,-0.0037427891711558914,0.0028215330094099045
1572864,925.97216796875,48,792.0,315,4986,0.033520132,0.00015,0.17883159220218658,0.9455324411392212,0.2,0.3821563720703125,6.345064550638199,0.029643032922952745,282,-0.003201505299027,0.01409534178674221
1605632,915.1138916015625,49,792.0,321,4987,0.03526771,0.00015,0.1786436140537262,0.9350458979606628,0.2,0.3941497802734375,6.367387019097805,0.03819483892584685,288,-0.003059151165264969,0.02093498967587948
1638400,895.4320068359375,50,792.0,328,4989,0.032662585,0.00015,0.17848636209964752,0.9426188468933105,0.2,0.3774973551432292,6.391021420558293,0.03483649098780006,294,-0.0027857754563835138,0.014551953412592411
1671168,909.6026000976562,51,800.0,334,4990,0.032608032,0.00015,0.1786399930715561,0.9400569796562195,0.2,0.3883717854817708,6.386828324447076,0.034881328649741285,300,-0.0031414157529070508,0.02173450216650963
1703936,885.9671630859375,52,800.0,341,4990,0.03532828,0.00015,0.17863218486309052,0.9336250424385071,0.2,0.3886057535807292,6.379313409328461,0.02882979726806904,306,-0.0044068835723010125,0.0059938011690974236
1736704,887.1914672851562,53,796.0,348,4990,0.035955723,0.00015,0.17854687571525574,0.9384775161743164,0.2,0.3958791097005208,6.382838603109121,0.03576515105669387,312,-0.003334994904435007,0.010104527696967125
1769472,917.7261962890625,54,796.0,354,4990,0.03662888,0.00015,0.17850524187088013,0.933176577091217,0.2,0.3921152750651042,6.395445258667071,0.035162456183267445,318,-0.003306589806015836,0.020062921568751335
1802240,946.1812744140625,55,796.0,360,4992,0.034147788,0.00015,0.17845842242240906,0.9420396089553833,0.2,0.3791910807291667,6.397283931573232,0.025220040210115258,324,-0.0028756605303594065,0.004239887930452824
1835008,946.631103515625,56,800.0,367,4992,0.035602365,0.00015,0.1783611923456192,0.9325811266899109,0.2,0.3882242838541667,6.406134823958079,0.028396887976365786,330,-0.003942098522505451,0.001331128180027008
1867776,906.6183471679688,57,800.0,374,4991,0.03397343,0.00015,0.1781996786594391,0.9412418007850647,0.2,0.3837229410807292,6.426209015150865,0.02548082038022888,336,-0.0032710559110758672,-0.00402065459638834
1900544,881.7907104492188,58,800.0,380,4991,0.035431914,0.00015,0.17826054990291595,0.9409552216529846,0.2,0.39239501953125,6.4220545291900635,0.031242408964317292,342,-0.005051413409091765,0.018418140709400177
1933312,908.2974243164062,59,800.0,387,4991,0.036000133,0.00015,0.17811319231987,0.9413659572601318,0.2,0.3962453206380208,6.430401050796111,0.03085548905801261,348,-0.004402732571179513,-0.004359027370810509
1966080,920.3355712890625,60,800.0,393,4991,0.035817504,0.00015,0.1780681163072586,0.9380277991294861,0.2,0.3910624186197917,6.44691189751029,0.03589915850898251,354,-0.0028473438493771632,0.011051705107092857
1998848,937.6314086914062,61,800.0,400,4992,0.033714198,0.00015,0.17789077758789062,0.9340047240257263,0.2,0.3860982259114583,6.460305123279492,0.029859389086292747,360,-0.0033077117004722822,0.008155603893101215
2031616,916.9768676757812,62,800.0,406,4991,0.03607744,0.00015,0.1777820736169815,0.9375230073928833,0.2,0.395416259765625,6.478954881429672,0.030039845291563932,366,-0.003160605928618073,0.00503492821007967
2064384,913.7676391601562,63,800.0,413,4992,0.039338373,0.00015,0.1778457760810852,0.9371852874755859,0.2,0.4013926188151042,6.475960096965234,0.03462767711122675,372,-0.0028714896288875025,-0.0009913966059684753
2097152,937.842041015625,64,800.0,420,4992,0.0364602,0.00015,0.17763282358646393,0.9435377717018127,0.2,0.3953857421875,6.486350033432245,0.031014250276105788,378,-0.0038221915638132486,-0.0019240379333496094
2129920,921.195556640625,65,800.0,426,4992,0.037189208,0.00015,0.17743869125843048,0.938003420829773,0.2,0.4067789713541667,6.5139656240741415,0.03423427231609821,384,-0.0018006616858959508,0.00822052825242281
2162688,912.2296142578125,66,800.0,433,4993,0.03774919,0.00015,0.177569180727005,0.9369348883628845,0.2,0.4103190104166667,6.513371250281732,0.03363176116545219,390,-0.004185155455464458,0.013759948313236237
2195456,946.669189453125,67,800.0,439,4994,0.037585743,0.00015,0.1773352175951004,0.9293166399002075,0.2,0.4065144856770833,6.520972676575184,0.03359653188090306,396,-0.0034327256047011665,0.005524402484297752
2228224,964.464599609375,68,800.0,446,4996,0.037626777,0.00015,0.17746105790138245,0.9363840222358704,0.2,0.4080810546875,6.525870730479558,0.034030168700458795,402,-0.0019899146782336175,-0.0026466064155101776
2260992,956.89306640625,69,800.0,452,4996,0.036828015,0.00015,0.17722034454345703,0.9391230344772339,0.2,0.3941446940104167,6.537852308402459,0.02792244838443973,408,-0.002644650147582676,0.0059534162282943726
2293760,917.9411010742188,70,800.0,459,4997,0.038278587,0.00015,0.17706066370010376,0.9376498460769653,0.2,0.4095408121744792,6.557838836063941,0.02857592982521358,414,-0.003957009885198204,-0.0032478412613272667
2326528,938.5438842773438,71,800.0,465,4999,0.038448703,0.00015,0.17707963287830353,0.9414716958999634,0.2,0.4110514322916667,6.568890472253163,0.03240092626947444,420,-0.0036528499513224233,-0.0061967633664608
2359296,927.7050170898438,72,800.0,471,4998,0.036552593,0.00015,0.1768304705619812,0.9378258585929871,0.2,0.4011891682942708,6.578649132202069,0.027092600597825367,426,-0.0038199984295109366,0.005646094214171171
2392064,924.5921020507812,73,796.0,478,4999,0.038365692,0.00015,0.17691057920455933,0.9309115409851074,0.2,0.4086354573567708,6.588972882678111,0.03566004030775124,432,-0.004246935025851902,0.02016572095453739
2424832,914.9718017578125,74,796.0,484,5000,0.03936427,0.00015,0.17687009274959564,0.9447692036628723,0.2,0.4140116373697917,6.589370436966419,0.0339234094232476,438,-0.00417768622598184,0.020607484504580498
2457600,905.01123046875,75,800.0,491,4999,0.03883901,0.00015,0.17663368582725525,0.9341272115707397,0.2,0.4060465494791667,6.603861375401418,0.03282232807153681,444,-0.0025521190345898503,0.016535604372620583
2490368,896.7592163085938,76,798.0,498,4998,0.037210338,0.00015,0.17655137181282043,0.9422235488891602,0.2,0.403472900390625,6.622767957548301,0.031235362723236904,450,-0.0030520770906150574,0.0027902107685804367
