time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/loss,train/clip_range,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/value_loss
5319,212992,40,13,345.4664001464844,300.0,0.22010350227355957,0.0003,0.031618014,-0.029950637370347977,0.2,120,0.9746010899543762,-0.019867541043277016,1.6934526912868022,0.361279296875,0.014185162945068441
5312,229376,43,14,350.2074279785156,300.0,0.220222607254982,0.0003,0.031917505,-0.023147927597165108,0.2,130,0.9762088060379028,-0.020756654445722233,1.6984495420008898,0.36163330078125,0.011988749375450424
5316,245760,46,15,317.92877197265625,300.0,0.22020284831523895,0.0003,0.033969596,-0.024163397029042244,0.2,140,0.9814906716346741,-0.022280608432629377,1.70007316917181,0.371649169921875,0.01380200429703109
5320,262144,49,16,354.85699462890625,300.0,0.21974600851535797,0.0003,0.033499606,-0.02460770308971405,0.2,150,0.9733990430831909,-0.01868262772914022,1.732860353961587,0.3685546875,0.013069415613426828
5327,278528,52,17,373.3430480957031,300.0,0.21938496828079224,0.0003,0.033803668,-0.029725346714258194,0.2,160,0.9814170002937317,-0.02013809852905979,1.7575899679213762,0.3769775390625,0.011573407748073805
5325,294912,55,18,366.6123046875,300.0,0.21909406781196594,0.0003,0.034039665,-0.017572883516550064,0.2,170,0.981167197227478,-0.021140705024299676,1.7874900568276644,0.37845458984375,0.009931374470761511
5329,311296,58,19,343.9955139160156,300.0,0.21922874450683594,0.0003,0.032963313,-0.033244721591472626,0.2,180,0.9845916628837585,-0.020939614804956364,1.7820063382387161,0.367596435546875,0.011177803098689765
5343,327680,61,20,358.9284362792969,300.0,0.21887218952178955,0.0003,0.034335405,-0.019510963931679726,0.2,190,0.983626127243042,-0.0210234481281077,1.8015463218092918,0.382171630859375,0.01055479444185039
5348,344064,64,21,369.00360107421875,300.0,0.2189626693725586,0.0003,0.034075134,-0.035051994025707245,0.2,200,0.9862632751464844,-0.021162798862496855,1.8073599219322205,0.3755126953125,0.009737525040691253
5345,360448,67,22,342.4147644042969,300.0,0.21861401200294495,0.0003,0.03502435,-0.028984904289245605,0.2,210,0.9878430962562561,-0.021367773009842495,1.822410126775503,0.380804443359375,0.008904350077500567
5346,376832,70,23,342.4466857910156,300.0,0.21852880716323853,0.0003,0.03554392,-0.02262689173221588,0.2,220,0.9818753600120544,-0.019689461051893887,1.8395160157233477,0.389691162109375,0.011370977020123973
5343,393216,73,24,361.2498474121094,300.0,0.21849901974201202,0.0003,0.03770034,-0.02629370242357254,0.2,230,0.9840362668037415,-0.02148110340058338,1.8466090857982635,0.39083251953125,0.009561079199193046
5345,409600,76,25,377.1068420410156,300.0,0.21832682192325592,0.0003,0.03570454,-0.03997457027435303,0.2,240,0.9875115156173706,-0.019833038636716083,1.845883660763502,0.3808349609375,0.009046308006509208
5344,425984,79,26,359.1226501464844,300.0,0.21763652563095093,0.0003,0.037737697,-0.014741229824721813,0.2,250,0.9908767938613892,-0.021498247220006306,1.8975302416831255,0.3957275390625,0.007951645150023978
5349,442368,82,27,347.04949951171875,300.0,0.2176458239555359,0.0003,0.038059663,-0.030179062858223915,0.2,260,0.9857299327850342,-0.02147198141028639,1.9131750904023648,0.39930419921875,0.00948254923132481
5345,458752,85,28,358.9536437988281,300.0,0.2172355055809021,0.0003,0.036612086,-0.03457045182585716,0.2,270,0.9884560108184814,-0.022079685036442243,1.9398801349103452,0.392327880859375,0.008572984591592104
5348,475136,88,29,363.54327392578125,300.0,0.21683597564697266,0.0003,0.040301174,-0.030523641034960747,0.2,280,0.9885958433151245,-0.02121204197756015,1.9703478280454874,0.40362548828125,0.008022825786611065
5345,491520,91,30,344.95465087890625,300.0,0.21632038056850433,0.0003,0.039523236,-0.02526901662349701,0.2,290,0.9878029823303223,-0.02123249633514206,2.00423524081707,0.397607421875,0.008208513831777963
5353,507904,94,31,358.30303955078125,300.0,0.21598194539546967,0.0003,0.039524905,-0.03564135357737541,0.2,300,0.990598738193512,-0.020167971654154827,2.0464647218585013,0.402349853515625,0.009380932523345108
5362,524288,97,32,405.6224365234375,300.0,0.21576839685440063,0.0003,0.039643355,-0.035307615995407104,0.2,310,0.9882889986038208,-0.021062225234345533,2.064123409986496,0.40087890625,0.0065726749686291445
5361,540672,100,33,380.21807861328125,300.0,0.21547037363052368,0.0003,0.03977687,-0.03197433799505234,0.2,320,0.9885686635971069,-0.01978231148823397,2.0869166694581507,0.393536376953125,0.005727913437294774
5360,557056,103,34,362.4454040527344,300.0,0.21518558263778687,0.0003,0.04061076,-0.03107599914073944,0.2,330,0.9912647008895874,-0.02003288966952823,2.112241908162832,0.40679931640625,0.00815429204812972
5363,573440,106,35,369.6949462890625,300.0,0.21480891108512878,0.0003,0.040293135,-0.030968550592660904,0.2,340,0.9917384386062622,-0.020064476478728464,2.141273021697998,0.414959716796875,0.007464633663767017
5366,589824,109,36,376.52520751953125,300.0,0.21458591520786285,0.0003,0.040211286,-0.028315579518675804,0.2,350,0.9915034174919128,-0.0222935505604255,2.1707906045019625,0.415411376953125,0.006318632802867796
5368,606208,112,37,374.62542724609375,300.0,0.2144443839788437,0.0003,0.040507242,-0.027533838525414467,0.2,360,0.9878413677215576,-0.021223125696997157,2.1804968506097793,0.42152099609375,0.006513544853078201
5372,622592,115,38,366.931884765625,300.0,0.21414707601070404,0.0003,0.042662017,-0.028855878859758377,0.2,370,0.9882916212081909,-0.018878997984575107,2.205051036924124,0.415374755859375,0.007578492714674212
5381,638976,118,39,389.17327880859375,300.0,0.2136344462633133,0.0003,0.04035881,-0.016818925738334656,0.2,380,0.9870201945304871,-0.019826604356785536,2.233837304264307,0.420196533203125,0.006916970122256316
5384,655360,121,40,383.92694091796875,300.0,0.21347272396087646,0.0003,0.038827322,-0.019192233681678772,0.2,390,0.9816795587539673,-0.01632767598275677,2.266468012332916,0.408721923828125,0.005651934100023936
5386,671744,124,41,371.7207336425781,300.0,0.21324221789836884,0.0003,0.0426893,-0.028137797489762306,0.2,400,0.9890244603157043,-0.02196943496237509,2.280636515468359,0.41690673828125,0.007904165390937124
5389,688128,127,42,389.02362060546875,300.0,0.21278604865074158,0.0003,0.042158164,-0.033323079347610474,0.2,410,0.9900175333023071,-0.018120440474012865,2.3142352014780045,0.4266357421875,0.006228563425247557
5388,704512,130,43,373.97247314453125,300.0,0.21252425014972687,0.0003,0.04273551,-0.024958737194538116,0.2,420,0.9922245740890503,-0.021690160190337336,2.339949990063906,0.420196533203125,0.005746411011205055
5388,720896,133,44,350.31671142578125,300.0,0.21273991465568542,0.0003,0.044030443,-0.025629526004195213,0.2,430,0.9885076284408569,-0.021607153207878583,2.334286121279001,0.422515869140625,0.007199124536418822
5388,737280,136,45,358.89324951171875,300.0,0.21247747540473938,0.0003,0.047025718,-0.035787954926490784,0.2,440,0.99021315574646,-0.020211743901018053,2.334872641414404,0.42901611328125,0.007525685762811918
5393,753664,139,46,385.15777587890625,300.0,0.21206825971603394,0.0003,0.044153664,-0.02805374190211296,0.2,450,0.9927212595939636,-0.019692513040354243,2.3735561057925225,0.427984619140625,0.006646500187343918
5396,770048,142,47,392.6850280761719,300.0,0.21179647743701935,0.0003,0.04319357,-0.02812858670949936,0.2,460,0.990007758140564,-0.019059970306261675,2.4027508847415446,0.433050537109375,0.005931161093758419
5396,786432,145,48,384.7081298828125,300.0,0.21114453673362732,0.0003,0.04462007,-0.03406454995274544,0.2,470,0.9913700222969055,-0.01847365121211624,2.4366739988327026,0.431756591796875,0.006691561250772793
5397,802816,148,49,373.6535949707031,300.0,0.21023385226726532,0.0003,0.04581353,-0.03148489445447922,0.2,480,0.9896702170372009,-0.021847452514339238,2.51366777792573,0.44046630859375,0.006206285729422234
5400,819200,151,50,391.7919616699219,300.0,0.2103120982646942,0.0003,0.048549004,-0.03419884294271469,0.2,490,0.9932595491409302,-0.018303856851707677,2.538233094662428,0.4377197265625,0.005815624065871816
