time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,train/value_loss,train/std,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/n_updates,train/entropy_loss
376832,23,71.53076934814453,83,261.33,4505,0.13233420122414827,0.9708881378173828,0.0003,0.7799566984176636,-0.040738277280615874,0.216754150390625,-0.13736845552921295,0.017009024,0.2,220,-25.01458449959755
393216,24,75.94548034667969,87,271.76,4501,0.13382328141015024,0.9690966010093689,0.0003,0.771456778049469,-0.04187559150159359,0.228814697265625,-0.13027994334697723,0.018525176,0.2,230,-24.988284146785738
409600,25,78.45462036132812,91,273.66,4496,0.11538338041864335,0.9673832654953003,0.0003,0.7750194072723389,-0.04189105834520888,0.2263671875,-0.140838623046875,0.018419655,0.2,240,-24.953303962945938
425984,26,72.71548461914062,94,262.55,4492,0.10613555831369012,0.9662004113197327,0.0003,0.8302364349365234,-0.04198282766956254,0.233154296875,-0.1345159113407135,0.018946113,0.2,250,-24.926658791303634
442368,27,75.97718048095703,98,267.59,4488,0.11412047748453916,0.9641114473342896,0.0003,0.8427227735519409,-0.041768846962077076,0.223590087890625,-0.13519355654716492,0.018314045,0.2,260,-24.891724520921706
458752,28,71.83552551269531,102,270.18,4486,0.10943863100837917,0.9617440104484558,0.0003,0.813947319984436,-0.04202351476851618,0.2265380859375,-0.14018937945365906,0.018112216,0.2,270,-24.846628510951994
475136,29,71.38729858398438,105,273.67,4485,0.09554564694408327,0.9601858854293823,0.0003,0.8368608951568604,-0.04438599037894164,0.240570068359375,-0.14911043643951416,0.019379016,0.2,280,-24.814494609832764
491520,30,84.67619323730469,109,286.47,4483,0.09999890171457082,0.9597918391227722,0.0003,0.8165112137794495,-0.042201070577721114,0.231658935546875,-0.14921991527080536,0.01841125,0.2,290,-24.799890321493148
507904,31,86.09625244140625,113,279.77,4480,0.08367469373624772,0.9592944383621216,0.0003,0.8577452898025513,-0.044076364445209036,0.233074951171875,-0.15374626219272614,0.019748343,0.2,300,-24.789695543050765
524288,32,89.23133850097656,117,284.11,4479,0.0866773231420666,0.9578765034675598,0.0003,0.8543650507926941,-0.04382491697688238,0.23826904296875,-0.15597884356975555,0.019535007,0.2,310,-24.768830960989
540672,33,98.13677978515625,120,288.19,4477,0.06916004692902789,0.9566767811775208,0.0003,0.822745144367218,-0.04569234600421623,0.2403564453125,-0.16151833534240723,0.019853882,0.2,320,-24.745546567440034
557056,34,92.62145233154297,124,289.1,4467,0.07038694197544829,0.9562904834747314,0.0003,0.8299646973609924,-0.04314667347498471,0.2383056640625,-0.1587975025177002,0.019217111,0.2,330,-24.739386999607085
573440,35,91.71910858154297,128,291.51,4462,0.07482029402162879,0.9542683362960815,0.0003,0.8453835844993591,-0.045120350223442074,0.2398681640625,-0.1611674726009369,0.019671503,0.2,340,-24.709927827119827
589824,36,92.90604400634766,132,283.05,4456,0.06883554792730137,0.9532405138015747,0.0003,0.8394944071769714,-0.04415892130346037,0.2451416015625,-0.15398427844047546,0.019779723,0.2,350,-24.685403496026993
606208,37,89.73499298095703,136,279.33,4450,0.07062796785030515,0.9531274437904358,0.0003,0.8657587766647339,-0.04538699164331774,0.24549560546875,-0.15633510053157806,0.020561416,0.2,360,-24.671529757976533
622592,38,95.66096496582031,140,287.18,4438,0.06312768087955192,0.9528334140777588,0.0003,0.881191074848175,-0.04577423751179595,0.24212646484375,-0.16283588111400604,0.01987368,0.2,370,-24.672060757875443
638976,39,98.24890899658203,144,285.64,4434,0.070233805780299,0.9518052339553833,0.0003,0.8631252646446228,-0.04557738376533962,0.24871826171875,-0.16537779569625854,0.02059645,0.2,380,-24.663333237171173
655360,40,95.59283447265625,147,287.41,4431,0.061649636353831735,0.9518848061561584,0.0003,0.9038029313087463,-0.04429783201921964,0.249371337890625,-0.16278384625911713,0.020531513,0.2,390,-24.64819951057434
671744,41,102.39389038085938,151,292.78,4426,0.06470713851740584,0.9513883590698242,0.0003,0.8326212167739868,-0.045153944823687196,0.244635009765625,-0.1671355962753296,0.020323236,0.2,400,-24.64857148528099
688128,42,104.78128051757812,155,294.83,4424,0.056797529198229314,0.9495784044265747,0.0003,0.851052463054657,-0.04731344046558661,0.254974365234375,-0.16373327374458313,0.021153262,0.2,410,-24.617965096235274
704512,43,99.93480682373047,159,293.94,4422,0.05450315484777093,0.9490050077438354,0.0003,0.8231993317604065,-0.04609040900541004,0.24979248046875,-0.17033986747264862,0.020889372,0.2,420,-24.594881558418273
720896,44,100.29177856445312,163,293.44,4420,0.06198319596005604,0.9476749897003174,0.0003,0.8686723709106445,-0.04609292357999948,0.249029541015625,-0.16480331122875214,0.0202513,0.2,430,-24.577490216493608
737280,45,110.1198959350586,166,298.43,4417,0.057250089594163,0.9461588263511658,0.0003,0.9016434550285339,-0.045159157233865696,0.24110107421875,-0.1725105345249176,0.019746836,0.2,440,-24.546719825267793
753664,46,109.52139282226562,170,299.27,4415,0.04910332466242835,0.9470964074134827,0.0003,0.9020134806632996,-0.04661862539505819,0.248785400390625,-0.16886994242668152,0.021103438,0.2,450,-24.556774574518204
770048,47,109.43319702148438,174,299.47,4413,0.049083514139056206,0.9464272260665894,0.0003,0.8723943829536438,-0.04873031015449669,0.2539794921875,-0.17011190950870514,0.022344928,0.2,460,-24.546700090169907
