t_unix,live,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786485277.059,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485277.354,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485277.654,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485277.954,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485278.255,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,37,0.0,0.0,35,17.93,0.0,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485278.555,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485278.855,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.0,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485279.166,18,0.18,0.0,34,16.44,0.013,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485279.457,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485279.757,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485280.058,18,0.18,0.0,34,16.44,0.013,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485280.374,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485280.674,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485280.958,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485281.259,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485281.559,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485281.859,17,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.0,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,,,,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485282.16,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.0,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485282.46,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485282.76,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.57,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485283.061,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,50,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485283.361,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.019,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485283.685,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
1786485283.961,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,51,79.45,0.0,36,-0.09,0.0,32,16.61,0.006,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.013,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.0,40,78.31,0.0,36
1786485284.262,18,0.18,0.0,34,16.44,0.006,39,79.37,0.0,36,0.35,0.0,34,17.58,0.0,38,78.49,0.006,36,0.0,0.0,35,17.93,0.006,50,79.45,0.0,36,-0.09,0.0,32,16.61,0.0,38,79.19,0.0,33,-0.18,0.0,32,17.14,0.019,42,77.61,0.013,34,-0.09,0.0,34,16.88,0.006,40,78.31,0.0,36
