time/time_elapsed,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/iterations,time/total_timesteps,train/std,train/learning_rate,train/entropy_loss,train/explained_variance,train/clip_range,train/clip_fraction,train/value_loss,train/approx_kl,train/n_updates,train/policy_gradient_loss,train/loss
205,800.0,992.6503295898438,4310,27,884736,0.18341635167598724,0.00015,7.215613018721342,0.9211797118186951,0.2,0.4418131510416667,0.030405409968807362,0.042173877,156,-0.0017086610132537317,0.009018538519740105
213,800.0,1005.6041259765625,4303,28,917504,0.1834559142589569,0.00015,7.200533627221982,0.9309978485107422,0.2,0.4500325520833333,0.041365861417337633,0.042149387,162,-0.0022140019142777114,0.011786162853240967
221,798.0,1002.6123657226562,4296,29,950272,0.18334057927131653,0.00015,7.212020603319009,0.9357085227966309,0.2,0.4447580973307292,0.027528541351784952,0.043683082,168,-0.001694272251673586,-0.012568525969982147
229,798.0,958.396484375,4284,30,983040,0.1832762360572815,0.00015,7.225555561482906,0.9272229075431824,0.2,0.4501851399739583,0.034366036765277386,0.043928772,174,-0.002636747692425464,0.0013536419719457626
237,798.0,989.1788940429688,4284,31,1015808,0.18341706693172455,0.00015,7.215964666257302,0.9216228723526001,0.2,0.451080322265625,0.04148930831191441,0.046222065,180,-0.0018467284450404502,0.013591567054390907
244,800.0,981.51611328125,4284,32,1048576,0.1833752542734146,0.00015,7.209028199315071,0.9380061030387878,0.2,0.4550272623697917,0.02774154101401412,0.0452961,186,-0.003434522945099161,0.0012578247115015984
252,800.0,998.3238525390625,4289,33,1081344,0.1831657588481903,0.00015,7.2334815847376985,0.9328020811080933,0.2,0.4523824055989583,0.030710082486621104,0.043680705,192,-0.0027171637945381613,-0.016821034252643585
259,800.0,1009.3102416992188,4293,34,1114112,0.18300189077854156,0.00015,7.253654059022665,0.9239830374717712,0.2,0.45550537109375,0.032976611012903355,0.044894084,198,-0.002600230265064359,0.006314441561698914
267,800.0,988.344970703125,4292,35,1146880,0.18306919932365417,0.00015,7.26372567564249,0.9434716701507568,0.2,0.4547068277994792,0.028797681666522596,0.044599015,204,-0.0033425397117146836,0.01581309176981449
274,800.0,964.8795166015625,4294,36,1179648,0.1832665354013443,0.00015,7.240832004696131,0.9349232316017151,0.2,0.463653564453125,0.03468966759586086,0.046254523,210,-0.0027420975481315204,0.0016816509887576103
282,800.0,1016.1917114257812,4298,37,1212416,0.18317483365535736,0.00015,7.236163159211476,0.9372492432594299,0.2,0.4645792643229167,0.036923582195110306,0.045175955,216,-0.0035403971899844087,0.0039982181042432785
289,798.0,1041.97314453125,4299,38,1245184,0.18317638337612152,0.00015,7.244203473130862,0.9330334663391113,0.2,0.45550537109375,0.03087647427067471,0.04588383,222,-0.002054006018624932,0.010278111323714256
297,798.0,1030.4312744140625,4302,39,1277952,0.1832396388053894,0.00015,7.236033953726292,0.9345986247062683,0.2,0.4575856526692708,0.028517614426770404,0.046694264,228,-0.0015445997917898542,0.004633639939129353
304,798.0,1030.17138671875,4304,40,1310720,0.18321040272712708,0.00015,7.23366055265069,0.9311952590942383,0.2,0.4568735758463542,0.03003911599080311,0.04559875,234,-0.002955001252606356,-0.012320945039391518
312,792.0,1010.485107421875,4305,41,1343488,0.1832229048013687,0.00015,7.23218451316158,0.9402462244033813,0.2,0.466796875,0.02899436826798289,0.04836811,240,-0.004576650402668747,-0.003570396453142166
319,792.0,1026.951904296875,4306,42,1376256,0.18338018655776978,0.00015,7.227459255605936,0.9417844414710999,0.2,0.4735921223958333,0.03875894030109824,0.050830945,246,-0.0027619916272669798,0.022579466924071312
327,796.0,1014.193603515625,4307,43,1409024,0.18333472311496735,0.00015,7.21515333155791,0.9151480793952942,0.2,0.4675954182942708,0.039160450605171114,0.048837207,252,-0.0026351247946270937,0.0048299795016646385
334,800.0,1012.2491455078125,4310,44,1441792,0.1832800954580307,0.00015,7.228393729776144,0.9173198342323303,0.2,0.4582570393880208,0.03268955024153305,0.04589014,258,-0.004670178889076245,-0.004168704152107239
341,800.0,1031.156982421875,4312,45,1474560,0.18348686397075653,0.00015,7.208170495927334,0.9443850517272949,0.2,0.4610595703125,0.02938699149914707,0.048145793,264,-0.0020827972572684907,0.012771899811923504
349,800.0,1015.1791381835938,4311,46,1507328,0.18353697657585144,0.00015,7.195810300608476,0.9368466138839722,0.2,0.4707489013671875,0.03217086240571613,0.04924275,270,-0.004803807079345764,-0.009331450797617435
357,798.0,990.5213012695312,4308,47,1540096,0.18361973762512207,0.00015,7.182109170903762,0.9413729906082153,0.2,0.464935302734375,0.028436980283004232,0.0478281,276,-0.004475519891760389,0.005720427259802818
365,794.0,971.4600219726562,4301,48,1572864,0.18375271558761597,0.00015,7.171370437989633,0.9438652396202087,0.2,0.4613494873046875,0.028219836198938236,0.050240867,282,-0.0029574434932631752,0.0024940362200140953
373,796.0,980.3732299804688,4296,49,1605632,0.183769091963768,0.00015,7.156007448832194,0.933361291885376,0.2,0.4655405680338542,0.02998019975590675,0.049241967,288,-0.004181829772884764,0.011927016079425812
381,796.0,1001.3623657226562,4296,50,1638400,0.18368394672870636,0.00015,7.167538562168677,0.9382028579711914,0.2,0.4746297200520833,0.03216587925271597,0.050163835,294,-0.0026512828990234993,0.004169391468167305
388,796.0,985.9502563476562,4297,51,1671168,0.1837419718503952,0.00015,7.165909064312776,0.9380043148994446,0.2,0.4767506917317708,0.034649439146354176,0.051628076,300,-0.0027530679405269134,0.007378173992037773
396,796.0,957.7648315429688,4298,52,1703936,0.18368729948997498,0.00015,7.170087773352861,0.9386769533157349,0.2,0.466461181640625,0.0325257325603161,0.047225516,306,-0.0048564390666191075,-0.0038837166503071785
403,800.0,997.4971923828125,4300,53,1736704,0.1838965266942978,0.00015,7.1538890438775224,0.9293144941329956,0.2,0.4797210693359375,0.03438012891759475,0.052360073,312,-0.004685457589403086,0.017352882772684097
411,800.0,983.2385864257812,4299,54,1769472,0.1838255524635315,0.00015,7.148977720489104,0.9354449510574341,0.2,0.4723052978515625,0.03158263005025219,0.04877203,318,-0.0018206308122898918,0.011046845465898514
419,796.0,1003.259765625,4299,55,1802240,0.18393850326538086,0.00015,7.141161027053992,0.9313242435455322,0.2,0.47161865234375,0.0367023599925839,0.052498475,324,-0.002954563011371647,-0.0033278558403253555
426,794.0,986.7979736328125,4298,56,1835008,0.18406258523464203,0.00015,7.1290748578806715,0.9380208849906921,0.2,0.4684499104817708,0.025362041383535445,0.048311204,330,-0.0019561601814833316,0.007393714971840382
434,798.0,991.1632690429688,4298,57,1867776,0.1840616762638092,0.00015,7.1176161629458266,0.9239010810852051,0.2,0.4769287109375,0.037697403919689045,0.049024247,336,-0.004378630742697472,0.005972534418106079
442,800.0,1031.1522216796875,4290,58,1900544,0.18399477005004883,0.00015,7.1268735602498055,0.9213588237762451,0.2,0.4736989339192708,0.029197838104058366,0.050231498,342,-0.004375702583881018,0.000586438924074173
452,800.0,1019.5647583007812,4277,59,1933312,0.18391039967536926,0.00015,7.135374241818984,0.936141312122345,0.2,0.473907470703125,0.025800546529353596,0.051408567,348,-0.002697768986763549,0.003730660304427147
461,797.36,1007.85498046875,4261,60,1966080,0.18370553851127625,0.00015,7.157838246474664,0.9362829327583313,0.2,0.4778238932291667,0.029357533596339636,0.05017692,354,-0.0027107466739835218,-0.0181504487991333
470,795.43,986.2337646484375,4249,61,1998848,0.18380023539066315,0.00015,7.15634748339653,0.9358615875244141,0.2,0.4800262451171875,0.03436944967446228,0.051552773,360,-0.0042276366051131236,0.01124208141118288
479,797.43,980.6292724609375,4239,62,2031616,0.1836491972208023,0.00015,7.169645462185144,0.9299074411392212,0.2,0.4671834309895833,0.0312961951373533,0.04845405,366,-0.004208096397633199,0.018738117069005966
487,794.07,1026.7261962890625,4234,63,2064384,0.18355394899845123,0.00015,7.186767369508743,0.9474748373031616,0.2,0.4737040201822917,0.029358840678469278,0.05061774,372,-0.0037548567731088647,-0.005756826139986515
495,796.0,1037.7900390625,4232,64,2097152,0.18355336785316467,0.00015,7.191865307589372,0.9201256036758423,0.2,0.4780934651692708,0.025938706065062433,0.050770696,378,-0.0034176147031151536,0.00671316497027874
503,800.0,1028.3232421875,4232,65,2129920,0.1835070699453354,0.00015,7.197675460328658,0.932735800743103,0.2,0.4812723795572917,0.029329406601997714,0.051772002,384,-0.004489849938787908,0.0028526242822408676
