time/iterations,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/clip_fraction,train/loss,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/value_loss,train/explained_variance
12,300.0,36,341.0089111328125,5415,196608,0.397283935546875,-0.026928076520562172,0.18070799112319946,110,0.036467664,5.250606676936149,0.0003,0.2,-0.01797070872562472,0.012127401944599114,0.9674283862113953
13,300.0,39,354.150146484375,5396,212992,0.39935302734375,-0.018120087683200836,0.18020425736904144,120,0.03973286,5.291351342201233,0.0003,0.2,-0.01649143906033714,0.011864204177982174,0.9744489192962646
14,300.0,42,363.3838195800781,5375,229376,0.37872314453125,-0.027082720771431923,0.17986440658569336,130,0.034676746,5.334290546178818,0.0003,0.2,-0.01770256373420125,0.008612827282922808,0.9793866276741028
15,300.0,45,325.5126037597656,5386,245760,0.40091552734375,-0.02459142915904522,0.17980162799358368,140,0.03775896,5.346904443204403,0.0003,0.2,-0.017995902778056915,0.010851378069492056,0.9827636480331421
16,300.0,48,353.0034484863281,5388,262144,0.3922607421875,-0.03434821218252182,0.17934805154800415,150,0.035683513,5.384409166872501,0.0003,0.2,-0.016751871597080026,0.010129568129195831,0.9753965139389038
17,300.0,51,371.6981506347656,5398,278528,0.40413818359375,-0.025510258972644806,0.179392471909523,160,0.03917469,5.388069619238377,0.0003,0.2,-0.017806032944645268,0.01036647318978794,0.9838287234306335
18,300.0,54,368.4899597167969,5399,294912,0.399163818359375,-0.02373109571635723,0.1791602373123169,170,0.03906496,5.406136171519757,0.0003,0.2,-0.017623842620741924,0.008604337828001008,0.9842943549156189
19,300.0,57,348.1074523925781,5407,311296,0.401129150390625,-0.026613112539052963,0.17888140678405762,180,0.03949209,5.426979258656502,0.0003,0.2,-0.016766081238165496,0.009054203932464588,0.9874428510665894
20,300.0,60,360.82257080078125,5423,327680,0.411151123046875,-0.017534516751766205,0.17873543500900269,190,0.038865987,5.44670735001564,0.0003,0.2,-0.016784650537738345,0.008334524712699931,0.9864355325698853
21,300.0,63,363.0348815917969,5428,344064,0.40592041015625,-0.031619492918252945,0.17842812836170197,200,0.03881575,5.4722557336092,0.0003,0.2,-0.01938999336634879,0.007917619227373506,0.9885011911392212
22,300.0,66,335.3508605957031,5431,360448,0.41083984375,-0.03454167768359184,0.17820650339126587,210,0.04163082,5.5089106351137165,0.0003,0.2,-0.019025602941110265,0.007891633379040286,0.9883419871330261
23,300.0,69,338.37127685546875,5420,376832,0.420263671875,-0.013444509357213974,0.17787009477615356,220,0.04225348,5.528832733631134,0.0003,0.2,-0.018153635330236284,0.009370879858033731,0.9840490221977234
24,300.0,72,355.9862365722656,5401,393216,0.41243896484375,-0.02809504047036171,0.1774304360151291,230,0.0397662,5.568921618163586,0.0003,0.2,-0.017867184205533702,0.0074037370344740335,0.9866304397583008
25,300.0,75,370.3956298828125,5401,409600,0.412286376953125,-0.023477012291550636,0.17745283246040344,240,0.041737184,5.587354534864426,0.0003,0.2,-0.019192696271056776,0.007667691718961578,0.9885924458503723
26,300.0,78,357.5986022949219,5399,425984,0.424517822265625,-0.027726080268621445,0.17702466249465942,250,0.04210703,5.614368312060833,0.0003,0.2,-0.01740863347949926,0.007471820259524975,0.9910818338394165
27,300.0,81,345.1505126953125,5400,442368,0.41771240234375,-0.03304022550582886,0.17677178978919983,260,0.041192926,5.644284401834011,0.0003,0.2,-0.017627008841736826,0.00851714669552166,0.9870524406433105
28,300.0,85,358.2257385253906,5394,458752,0.4283203125,-0.025846321135759354,0.17666247487068176,270,0.042265195,5.661393396556377,0.0003,0.2,-0.017701622868480628,0.007668050324718933,0.9898011088371277
29,300.0,88,363.0298156738281,5397,475136,0.4239501953125,-0.02060992270708084,0.1760418564081192,280,0.04436168,5.709992076456547,0.0003,0.2,-0.017285807653388476,0.007094611880893354,0.9901282787322998
30,300.0,91,341.8176574707031,5393,491520,0.432177734375,-0.029436931014060974,0.17560414969921112,290,0.04664293,5.756384836137295,0.0003,0.2,-0.016466407305051688,0.00713061084097717,0.9884235858917236
