rollout/ep_len_mean,time/fps,time/total_timesteps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,train/clip_range,train/value_loss,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/explained_variance,train/n_updates,train/entropy_loss
300.0,2960,360448,461.8553161621094,22,121,0.2,0.0037821828402229583,0.2164025753736496,-0.017947286197522772,0.0003,0.51885986328125,-0.030231134966015816,0.06661779,0.9895607829093933,210,2.0082566108554603
300.0,2959,376832,461.5948181152344,23,127,0.2,0.0041305759477836546,0.21554167568683624,-0.016275699457037263,0.0003,0.5132568359375,-0.021605568006634712,0.066895634,0.9850674271583557,220,2.060683536529541
300.0,2948,393216,481.1777648925781,24,133,0.2,0.0032844817484146915,0.2155255526304245,-0.015459760870726313,0.0003,0.52047119140625,-0.03790838271379471,0.06492548,0.9869242310523987,230,2.079485222697258
300.0,2951,409600,489.38641357421875,25,138,0.2,0.0029590101083158517,0.215107262134552,-0.016758937444683396,0.0003,0.51134033203125,-0.0444578155875206,0.06343239,0.9904301762580872,240,2.111174063384533
300.0,2948,425984,476.62872314453125,26,144,0.2,0.003431252638984006,0.21469973027706146,-0.015737970535701605,0.0003,0.517547607421875,-0.023081205785274506,0.072626024,0.991632878780365,250,2.147961249947548
300.0,2949,442368,473.07855224609375,27,149,0.2,0.0034103292018698994,0.21397598087787628,-0.01735021850836347,0.0003,0.52532958984375,-0.03080459125339985,0.06956929,0.9878696799278259,260,2.1969178840517998
300.0,2952,458752,481.4364013671875,28,155,0.2,0.0031318261637352405,0.21373526751995087,-0.014710661114077084,0.0003,0.5322509765625,-0.024209747090935707,0.07260391,0.9904239177703857,270,2.2312727980315685
300.0,2934,475136,484.35467529296875,29,161,0.2,0.002988983485556673,0.2133277803659439,-0.015956856157572474,0.0003,0.52606201171875,-0.03346364572644234,0.072969206,0.9892821907997131,280,2.2631789267063143
300.0,2939,491520,473.85601806640625,30,167,0.2,0.0028672909546003213,0.21279220283031464,-0.014201277292886515,0.0003,0.54049072265625,-0.03397754952311516,0.071578555,0.9897649884223938,290,2.3075570084154604
300.0,2942,507904,479.89453125,31,172,0.2,0.0033566802143468522,0.21262124180793762,-0.013640837393177207,0.0003,0.542822265625,-0.037625182420015335,0.079231545,0.9916017055511475,300,2.325419718027115
300.0,2942,524288,504.1524963378906,32,178,0.2,0.002485235586937051,0.21248847246170044,-0.0161374997740495,0.0003,0.5308837890625,-0.021850358694791794,0.06964894,0.9892061948776245,310,2.3416263282299044
300.0,2937,540672,496.2731628417969,33,184,0.2,0.002290578913016361,0.21206490695476532,-0.016916637292888483,0.0003,0.521746826171875,-0.03597424924373627,0.070891075,0.9905272126197815,320,2.375723672658205
300.0,2941,557056,483.25030517578125,34,189,0.2,0.0028366669401293622,0.21180494129657745,-0.014493966824375093,0.0003,0.528387451171875,-0.01568685658276081,0.0714041,0.9931508898735046,330,2.3973448127508163
300.0,2935,573440,487.9712219238281,35,195,0.2,0.0029115331431967205,0.21078389883041382,-0.018558312289678726,0.0003,0.54212646484375,-0.03992348536849022,0.076420195,0.9904041886329651,340,2.463037241995335
300.0,2938,589824,493.7812805175781,36,200,0.2,0.0027932286848226795,0.21023279428482056,-0.01378917774563888,0.0003,0.543084716796875,-0.03546297177672386,0.075174876,0.9922587871551514,350,2.522516517341137
300.0,2937,606208,495.3330383300781,37,206,0.2,0.0024565394065575673,0.20992138981819153,-0.015041654842207208,0.0003,0.547296142578125,-0.0329604297876358,0.0850923,0.9894870519638062,360,2.5531836330890654
300.0,2926,622592,490.84881591796875,38,212,0.2,0.0022482048323581695,0.2092352956533432,-0.016339002338645513,0.0003,0.544488525390625,-0.01884506084024906,0.079109006,0.9913958311080933,370,2.6052550792694094
300.0,2924,638976,494.16754150390625,39,218,0.2,0.0028420732316590145,0.2086169421672821,-0.013458121311850845,0.0003,0.561517333984375,-0.023991422727704048,0.087097794,0.989518940448761,380,2.658096934854984
300.0,2912,655360,494.4539489746094,40,225,0.2,0.0021619801605993415,0.20813097059726715,-0.015599524263234344,0.0003,0.550433349609375,-0.0181560255587101,0.07682125,0.9896256327629089,390,2.6994837291538714
300.0,2918,671744,492.8052978515625,41,230,0.2,0.002750160934010637,0.20720702409744263,-0.01574078542762436,0.0003,0.57587890625,-0.03058229759335518,0.09576753,0.9925177097320557,400,2.7692594930529593
300.0,2923,688128,504.8735046386719,42,235,0.2,0.0025098621721554083,0.2067718505859375,-0.013981435271853115,0.0003,0.562725830078125,-0.03956954926252365,0.082743794,0.9900369048118591,410,2.822397618740797
300.0,2923,704512,497.1241455078125,43,241,0.2,0.0024355650879442693,0.20646196603775024,-0.012943616295524407,0.0003,0.559576416015625,-0.03259974718093872,0.0836045,0.9921043515205383,420,2.8575175419449805
300.0,2927,720896,485.0018310546875,44,246,0.2,0.0029030113881162835,0.20592983067035675,-0.015469095693697454,0.0003,0.569537353515625,-0.0278385728597641,0.093442455,0.9894766807556152,430,2.9056447967886925
300.0,2928,737280,491.2203369140625,45,251,0.2,0.002624520361132454,0.20608435571193695,-0.01487550815763825,0.0003,0.57371826171875,-0.019835246726870537,0.09065239,0.9912538528442383,440,2.9125438176095484
300.0,2936,753664,506.44647216796875,46,256,0.2,0.002335160867733066,0.20540925860404968,-0.013648103609011742,0.0003,0.5809326171875,-0.026656052097678185,0.09777208,0.9927850365638733,450,2.9420381605625154
300.0,2938,770048,508.9912414550781,47,262,0.2,0.0018561853816208896,0.20515629649162292,-0.013361776844249107,0.0003,0.57421875,-0.03320440277457237,0.09101882,0.9924170970916748,460,2.9738026902079584
300.0,2941,786432,507.4754638671875,48,267,0.2,0.002427241262194002,0.20496883988380432,-0.013894574740697862,0.0003,0.576959228515625,-0.04320934787392616,0.09523821,0.9932557940483093,470,2.9946509674191475
300.0,2944,802816,505.9095764160156,49,272,0.2,0.002271169532832573,0.2047000676393509,-0.012463576458685566,0.0003,0.58074951171875,-0.027603788301348686,0.09308701,0.9920307397842407,480,3.0189357779920103
300.0,2950,819200,514.5084838867188,50,277,0.2,0.002363300430806703,0.20420339703559875,-0.014954442909220234,0.0003,0.57197265625,-0.030744891613721848,0.089993306,0.994299054145813,490,3.053835616260767
300.0,2956,835584,513.77734375,51,282,0.2,0.0019578918319894,0.20380093157291412,-0.012928672715497668,0.0003,0.584515380859375,-0.01909615844488144,0.09880317,0.9919734001159668,500,3.099639181047678
300.0,2957,851968,510.4935607910156,52,288,0.2,0.00205181088676909,0.20350384712219238,-0.015693362182355487,0.0003,0.585333251953125,-0.035147204995155334,0.09886053,0.9906851649284363,510,3.1228512659668923
300.0,2959,868352,499.176025390625,53,293,0.2,0.0025732208363479004,0.20320278406143188,-0.01100942199700512,0.0003,0.586102294921875,-0.022085055708885193,0.09602145,0.9910865426063538,520,3.1563990585505963
300.0,2961,884736,498.5594787597656,54,298,0.2,0.0027212118522584204,0.20316502451896667,-0.011571629520040006,0.0003,0.604931640625,-0.033646631985902786,0.108272456,0.9884204268455505,530,3.1693425424396993
300.0,2966,901120,515.7203369140625,55,303,0.2,0.001843599588755751,0.20282310247421265,-0.013649006908963202,0.0003,0.581866455078125,-0.026989776641130447,0.09357285,0.9932840466499329,540,3.19116699770093
300.0,2970,917504,506.2913818359375,56,308,0.2,0.001916976888969657,0.20298059284687042,-0.012471530034963508,0.0003,0.58739013671875,-0.030415186658501625,0.098071955,0.9927291870117188,550,3.189468788355589
300.0,2975,933888,516.3806762695312,57,313,0.2,0.002155281375235063,0.2023605853319168,-0.01529502844241506,0.0003,0.602545166015625,-0.024735847488045692,0.104167685,0.9915865659713745,560,3.221333687752485
300.0,2979,950272,523.2625122070312,58,318,0.2,0.001668588257598458,0.2016756534576416,-0.014119266647321637,0.0003,0.58006591796875,-0.03767833486199379,0.09802447,0.9939660429954529,570,3.2804689586162565
300.0,2982,966656,521.1361083984375,59,324,0.2,0.002023075093529769,0.20144933462142944,-0.008181824797793525,0.0003,0.58538818359375,-0.020854802802205086,0.09738639,0.9928786158561707,580,3.3223888665437697
300.0,2986,983040,528.302490234375,60,329,0.2,0.0014802358429733431,0.201213538646698,-0.012872580919065513,0.0003,0.587274169921875,-0.03560604155063629,0.09748652,0.9908023476600647,590,3.339330727607012
300.0,2984,999424,520.002197265625,61,334,0.2,0.0019142547556839419,0.20096391439437866,-0.01113832300179638,0.0003,0.594976806640625,-0.026230588555336,0.101019405,0.9931941032409668,600,3.368059837073088
300.0,2985,1015808,521.6917724609375,62,340,0.2,0.0017411718639777974,0.20052871108055115,-0.013412451656040502,0.0003,0.6014892578125,-0.025372503325343132,0.104779474,0.9921027421951294,610,3.394354189932346
300.0,2990,1032192,524.5521850585938,63,345,0.2,0.0016937422304181382,0.20007583498954773,-0.015472504884382943,0.0003,0.594891357421875,-0.04745778813958168,0.10573023,0.9950321316719055,620,3.4407830849289893
300.0,2995,1048576,532.3507690429688,64,350,0.2,0.001393846004975785,0.19980470836162567,-0.01401825450884644,0.0003,0.59686279296875,-0.016988031566143036,0.099592894,0.990486741065979,630,3.4675048157572745
300.0,2996,1064960,530.686279296875,65,355,0.2,0.0013597266779470374,0.19944968819618225,-0.011254625108267646,0.0003,0.597320556640625,-0.030673084780573845,0.100026965,0.9938474297523499,640,3.4964321330189705
300.0,2995,1081344,512.703369140625,66,360,0.2,0.0016906654236663599,0.19904372096061707,-0.013087141707364936,0.0003,0.607830810546875,-0.03233041241765022,0.1146863,0.993408203125,650,3.537478592246771
300.0,2997,1097728,509.8212585449219,67,366,0.2,0.0018060362435790012,0.19854365289211273,-0.016464903880114436,0.0003,0.60584716796875,-0.02709488570690155,0.11643173,0.9937126636505127,660,3.5744859583675863
300.0,2996,1114112,513.022705078125,68,371,0.2,0.0019356214776053093,0.19798314571380615,-0.012258670745359268,0.0003,0.6193359375,-0.04026472195982933,0.118000455,0.992829442024231,670,3.63885046467185
300.0,2997,1130496,528.470947265625,69,377,0.2,0.0020077062781638233,0.19768691062927246,-0.008113597177725751,0.0003,0.617877197265625,-0.02829495258629322,0.116910934,0.9927597045898438,680,3.6644238881766795
300.0,3001,1146880,533.8414916992188,70,382,0.2,0.0013401583066297463,0.19768103957176208,-0.015048543241573498,0.0003,0.61126708984375,-0.03543233498930931,0.115434185,0.9928258061408997,690,3.68050299808383
300.0,3003,1163264,531.5372314453125,71,387,0.2,0.0017422366530809087,0.19768041372299194,-0.01115383705473505,0.0003,0.611151123046875,-0.031942933797836304,0.10826974,0.9941777586936951,700,3.681303033232689
300.0,3007,1179648,543.2161865234375,72,392,0.2,0.0012071888007994858,0.19731220602989197,-0.012158986968279351,0.0003,0.606658935546875,-0.034622300416231155,0.11094294,0.9951514005661011,710,3.705616684257984
300.0,3021,1196032,535.7147216796875,73,395,0.2,0.0012184931241790765,0.1970084309577942,-0.013608047667366919,0.0003,0.61380615234375,-0.017502058297395706,0.114070535,0.9941681027412415,720,3.726784373819828
300.0,3036,1212416,533.2355346679688,74,399,0.2,0.001332000419824908,0.19630447030067444,-0.011461371174664236,0.0003,0.61798095703125,-0.03717690706253052,0.115890965,0.996041476726532,730,3.7827227525413036
300.0,3051,1228800,533.0709228515625,75,402,0.2,0.001682052244359511,0.1959865689277649,-0.009989785698417108,0.0003,0.63349609375,-0.041012853384017944,0.12920164,0.9945238828659058,740,3.821891338378191
300.0,3065,1245184,537.7196655273438,76,406,0.2,0.0009545946306388942,0.1960437148809433,-0.012434447200212162,0.0003,0.61888427734375,-0.028420353308320045,0.117569,0.9965230226516724,750,3.838699356466532
300.0,3080,1261568,535.8258056640625,77,409,0.2,0.0015467567836822127,0.19582128524780273,-0.0092870946842595,0.0003,0.630230712890625,-0.028256842866539955,0.12324342,0.9926791787147522,760,3.8477401547133923
300.0,3095,1277952,542.41748046875,78,412,0.2,0.0012139457307057456,0.19554847478866577,-0.010669719590077875,0.0003,0.620648193359375,-0.041309904307127,0.11520189,0.9946224689483643,770,3.868570423126221
300.0,3107,1294336,547.4454956054688,79,416,0.2,0.0011111418019936537,0.19523964822292328,-0.011607675549748819,0.0003,0.622760009765625,-0.035247787833213806,0.11915177,0.9941073656082153,780,3.8886407665908336
300.0,3121,1310720,526.145751953125,80,419,0.2,0.0013031326279815403,0.19478367269039154,-0.007835390628315508,0.0003,0.6263916015625,-0.021706130355596542,0.124420814,0.9945154190063477,790,3.936711938679218
300.0,3137,1327104,524.7127685546875,81,422,0.2,0.0018842738176317654,0.19479312002658844,-0.010690979482023976,0.0003,0.640887451171875,-0.022941829636693,0.13819972,0.9927106499671936,800,3.944306920468807
300.0,3153,1343488,543.3292846679688,82,426,0.2,0.0013838086921168723,0.19457682967185974,-0.008442533276684117,0.0003,0.637939453125,-0.04601425305008888,0.124470524,0.9937791228294373,810,3.9609260581433774
300.0,3168,1359872,539.6221313476562,83,429,0.2,0.0010818656119226944,0.19398193061351776,-0.012821861391421408,0.0003,0.62733154296875,-0.03381212055683136,0.1361028,0.9959640502929688,820,3.9937129616737366
300.0,3184,1376256,533.5347290039062,84,432,0.2,0.0013269406152176088,0.19360052049160004,-0.009953430347377435,0.0003,0.635675048828125,-0.024687111377716064,0.13657224,0.9950096011161804,830,4.04154975861311
300.0,3200,1392640,537.0606079101562,85,435,0.2,0.0015895878546871244,0.19342143833637238,-0.008999913118896075,0.0003,0.63775634765625,-0.021908700466156006,0.1285524,0.9939205050468445,840,4.063588084280491
300.0,3216,1409024,535.3917236328125,86,438,0.2,0.0010788591815071413,0.19324606657028198,-0.01100674793269718,0.0003,0.632330322265625,-0.018672693520784378,0.12548678,0.9946638345718384,850,4.087025590240955
300.0,3231,1425408,531.2804565429688,87,441,0.2,0.0013325708627235145,0.19311192631721497,-0.008130831155358464,0.0003,0.63848876953125,-0.04132730886340141,0.12929097,0.9939060807228088,860,4.103238992393017
300.0,3246,1441792,522.9451293945312,88,444,0.2,0.001215133570622129,0.1926337629556656,-0.01028905865678098,0.0003,0.639898681640625,-0.046227652579545975,0.14251737,0.9944277405738831,870,4.132178889214993
300.0,3261,1458176,535.333984375,89,447,0.2,0.0018535773724579485,0.19257700443267822,0.0008351447639142861,0.0003,0.659918212890625,-0.03277024254202843,0.14396027,0.9945645332336426,880,4.150699286162853
300.0,3276,1474560,551.8846435546875,90,449,0.2,0.0010878732444325578,0.1922815889120102,-0.008009533102449496,0.0003,0.6322265625,-0.0057311151176691055,0.12660769,0.9932529330253601,890,4.182470448315144
300.0,3291,1490944,542.87158203125,91,453,0.2,0.0012082429369911552,0.1920045018196106,-0.0065962425345787775,0.0003,0.629547119140625,-0.025394443422555923,0.12584691,0.9929629564285278,900,4.20233214199543
300.0,3303,1507328,532.7125854492188,92,456,0.2,0.0011577407965887687,0.19127777218818665,-0.013550349595607258,0.0003,0.6429443359375,-0.020916849374771118,0.1449042,0.9949947595596313,910,4.262518726289272
300.0,3315,1523712,531.5393676757812,93,459,0.2,0.0014273849774326663,0.19095966219902039,-0.00660929205987486,0.0003,0.6523193359375,-0.03226383030414581,0.14240567,0.9939515590667725,920,4.308442847430706
300.0,3329,1540096,538.4591064453125,94,462,0.2,0.001413205154130992,0.19070421159267426,-0.007166024075559108,0.0003,0.651983642578125,-0.029275327920913696,0.14213149,0.9949164390563965,930,4.328978832066059
300.0,3343,1556480,549.60009765625,95,465,0.2,0.001039939795009559,0.1904250979423523,-0.009220138908131049,0.0003,0.636248779296875,-0.021136023104190826,0.13922799,0.9942187666893005,940,4.358601193130016
300.0,3356,1572864,550.8507080078125,96,468,0.2,0.0011092480184743182,0.1901310533285141,-0.00918112923100125,0.0003,0.63544921875,-0.02123766764998436,0.13627288,0.9939653277397156,950,4.383608131110668
300.0,3370,1589248,545.4705200195312,97,471,0.2,0.0011344836329953978,0.18990495800971985,-0.007778353644243907,0.0003,0.6410400390625,-0.03639703989028931,0.14127718,0.9950681924819946,960,4.406935727596283
300.0,3382,1605632,541.2011108398438,98,474,0.2,0.0012755045747326222,0.18956704437732697,-0.007242498717096169,0.0003,0.648065185546875,-0.005817719269543886,0.13689753,0.9944554567337036,970,4.435762979090214
300.0,3395,1622016,544.8273315429688,99,477,0.2,0.001290094479554682,0.18939024209976196,-0.00759603384140064,0.0003,0.64478759765625,-0.01864919811487198,0.13579507,0.9938789010047913,980,4.4578425765037535
300.0,3409,1638400,548.3201293945312,100,480,0.2,0.0011853587984660408,0.18897071480751038,-0.008288097564945928,0.0003,0.64781494140625,-0.03205342963337898,0.14599812,0.9944175481796265,990,4.497335733473301
300.0,3421,1654784,549.1395874023438,101,483,0.2,0.0012865335920650978,0.18853026628494263,-0.0038178240509296303,0.0003,0.658587646484375,-0.008240016177296638,0.14240381,0.9937503933906555,1000,4.534379015862942
300.0,3434,1671168,544.5875244140625,102,486,0.2,0.0007347016120547778,0.18825209140777588,-0.010874165427230765,0.0003,0.643133544921875,-0.02351105958223343,0.14032269,0.9951508045196533,1010,4.565597148239613
300.0,3447,1687552,551.1094360351562,103,489,0.2,0.0011664918114547619,0.18772299587726593,-0.008174012286326615,0.0003,0.661651611328125,-0.028230225667357445,0.15274611,0.9940655827522278,1020,4.601166896522045
300.0,3460,1703936,549.8262939453125,104,492,0.2,0.0011666294249152998,0.18743474781513214,-0.005468241440394195,0.0003,0.65518798828125,-0.02335992082953453,0.1422041,0.9947134852409363,1030,4.646263939142227
300.0,3472,1720320,537.4674072265625,105,495,0.2,0.0011602460412177607,0.18717077374458313,-0.00789166222748463,0.0003,0.661651611328125,-0.01784869283437729,0.15674007,0.9955176115036011,1040,4.671818415820598
300.0,3485,1736704,544.572021484375,106,498,0.2,0.0013861793755495454,0.18695242702960968,-0.005072968416061485,0.0003,0.66014404296875,-0.03427731990814209,0.15229228,0.9946349263191223,1050,4.687323571741581
300.0,3497,1753088,551.751220703125,107,501,0.2,0.000924240658787312,0.18680045008659363,-0.009114955858967733,0.0003,0.65777587890625,-0.02573450095951557,0.15656522,0.9953697323799133,1060,4.70433326214552
300.0,3509,1769472,558.0502319335938,108,504,0.2,0.0013231024428023374,0.186492919921875,-0.002462882664258359,0.0003,0.670733642578125,-0.016913795843720436,0.16201615,0.993227481842041,1070,4.725960098206997
300.0,3520,1785856,550.4517822265625,109,507,0.2,0.0007127780848350084,0.18642456829547882,-0.00818979400792159,0.0003,0.659564208984375,-0.020573975518345833,0.15060318,0.9960461258888245,1080,4.744952462613583
