rollout/ep_len_mean,time/iterations,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/policy_gradient_loss,train/clip_range,train/learning_rate,train/loss,train/explained_variance,train/std,train/entropy_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/value_loss
400.0,14,1239,114688,92,664.124755859375,-0.028319956471386833,0.2,0.0003,-0.029468189924955368,0.8128661513328552,0.13392411172389984,15.357173138856888,130,0.55147705078125,0.08711046,0.025084667513146995
400.0,15,1249,122880,98,670.445556640625,-0.0355953581398353,0.2,0.0003,-0.04194233566522598,0.9148812890052795,0.13383327424526215,15.393975257873535,140,0.56068115234375,0.087974995,0.011354224558454007
400.0,16,1258,131072,104,671.034423828125,-0.03465608816331951,0.2,0.0003,-0.053397130221128464,0.921190619468689,0.13373242318630219,15.409727317094802,150,0.553857421875,0.082397394,0.011384981698938645
400.0,17,1266,139264,109,672.5072021484375,-0.03163194301305339,0.2,0.0003,-0.05366070196032524,0.8657453060150146,0.1336095929145813,15.429295516014099,160,0.56204833984375,0.08495256,0.019318664667662234
400.0,18,1275,147456,115,668.8825073242188,-0.03711532871529925,0.2,0.0003,-0.050825394690036774,0.9291346073150635,0.13359497487545013,15.447778850793839,170,0.55263671875,0.08347624,0.009805553857586347
400.0,19,1280,155648,121,658.5215454101562,-0.018687215200043284,0.2,0.0003,0.0030052531510591507,0.6843047142028809,0.13346467912197113,15.456853705644608,180,0.56678466796875,0.091083735,0.08129285047762096
400.0,20,1287,163840,127,646.9746704101562,-0.03201235537708271,0.2,0.0003,-0.030636407434940338,0.8290311694145203,0.13328252732753754,15.483102434873581,190,0.58035888671875,0.10545043,0.034342233743518594
400.0,21,1295,172032,132,655.8359375,-0.021640989778097718,0.2,0.0003,-0.01239820010960102,0.7951379418373108,0.13318851590156555,15.516765224933625,200,0.58621826171875,0.09486308,0.04916287868982181
400.0,22,1303,180224,138,660.728271484375,-0.03391070263605798,0.2,0.0003,-0.046190567314624786,0.9268097281455994,0.13307735323905945,15.54005337357521,210,0.5625732421875,0.08920831,0.013744121522177011
400.0,23,1308,188416,144,668.3460693359375,-0.03328361167223193,0.2,0.0003,-0.06078069284558296,0.9322041869163513,0.13287664949893951,15.572132343053818,220,0.55927734375,0.085505724,0.012268916564062237
400.0,24,1311,196608,149,679.6925048828125,-0.03628524257219397,0.2,0.0003,-0.05507175251841545,0.9656358361244202,0.13273903727531433,15.606073206663131,230,0.56451416015625,0.092990234,0.008689728882745839
400.0,25,1312,204800,156,674.363037109375,-0.034171330978279,0.2,0.0003,-0.04450702294707298,0.9493774771690369,0.13275906443595886,15.608770805597306,240,0.56878662109375,0.094289914,0.01137655383499805
400.0,26,1316,212992,161,655.8116455078125,-0.03554988086980302,0.2,0.0003,-0.051320865750312805,0.9009053111076355,0.1327233612537384,15.612568032741546,250,0.5723388671875,0.087897465,0.015074801829177887
400.0,27,1319,221184,167,613.935791015625,-0.012766209374240134,0.2,0.0003,-0.0037309955805540085,0.5384321808815002,0.13239628076553345,15.634515410661697,260,0.5846435546875,0.10154809,0.15265120033873245
400.0,28,1322,229376,173,607.7868041992188,-0.01886546052846825,0.2,0.0003,0.00038108229637145996,0.5738511085510254,0.13236063718795776,15.683596217632294,270,0.6041015625,0.111101575,0.21626002714037895
400.0,29,1314,237568,180,606.5704956054688,-0.02883911037206417,0.2,0.0003,-0.038973111659288406,0.7915081977844238,0.13207370042800903,15.717907738685607,280,0.57904052734375,0.09415501,0.03803442076314241
400.0,30,1317,245760,186,607.4302978515625,-0.03106223616923671,0.2,0.0003,-0.03823217749595642,0.8782271146774292,0.13177327811717987,15.783036071062089,290,0.58814697265625,0.103988625,0.01928809440578334
