t_unix,roll_deg,pitch_deg
1786332012.082,0.7,2.8
1786332012.382,0.8,2.7
1786332012.683,0.8,2.8
1786332012.983,0.8,2.9
1786332013.284,0.8,2.7
1786332013.584,1.6,2.8
1786332013.884,0.7,8.7
1786332014.185,0.5,6.7
1786332014.485,0.9,3.6
1786332014.785,1.9,3.6
1786332015.085,6.6,5.1
1786332015.386,0.6,2.2
1786332015.686,2.1,9.8
1786332015.986,0.6,5.8
1786332016.286,1.3,1.0
1786332016.587,2.7,1.3
1786332016.887,1.0,4.6
1786332017.187,1.2,3.2
1786332017.488,1.1,3.6
1786332017.788,1.2,3.4
1786332018.088,1.3,3.6
1786332018.389,1.2,3.4
1786332018.689,-0.7,3.6
1786332018.989,-0.3,0.0
1786332019.290,-2.2,-1.3
1786332019.590,7.0,8.5
1786332019.890,1.1,-1.0
1786332020.190,2.8,-1.4
1786332020.491,-4.3,0.5
1786332020.791,-4.3,3.4
1786332021.091,3.1,12.4
1786332021.392,-2.0,-0.4
1786332021.692,3.4,-4.4
1786332021.992,2.6,-2.4
1786332022.293,-5.2,-0.0
1786332022.593,1.3,10.0
1786332022.893,-4.2,-8.6
1786332023.193,3.4,-0.7
1786332023.493,-2.0,1.9
1786332023.794,-7.6,-0.7
1786332024.094,3.2,11.1
1786332024.394,-1.9,-6.4
1786332024.695,-0.3,-2.9
1786332024.995,-0.3,2.9
1786332025.296,-5.3,-1.5
1786332025.596,2.8,8.2
1786332025.896,-5.5,-6.6
1786332026.197,7.6,6.5
1786332026.497,1.6,-0.4
1786332026.797,-4.2,-2.6
1786332027.097,1.7,13.5
1786332027.398,-3.5,-4.7
1786332027.698,1.8,-3.3
1786332027.998,0.6,4.1
1786332028.299,6.0,-1.2
1786332028.599,7.7,8.8
1786332028.899,-3.6,-0.4
1786332029.199,4.5,5.9
1786332029.500,0.2,5.8
1786332029.800,0.1,5.8
1786332030.100,1.8,5.9
1786332030.400,-8.0,2.9
1786332030.700,12.0,4.3
1786332031.000,-9.3,-2.0
1786332031.301,1.6,-4.3
1786332031.601,4.2,10.7
1786332031.901,-0.2,6.1
1786332032.201,4.1,4.0
1786332032.502,-0.0,8.6
1786332032.802,4.0,5.8
1786332033.102,4.8,10.7
1786332033.403,3.0,2.3
1786332033.703,4.7,-0.8
1786332034.003,7.5,4.2
1786332034.303,-1.4,2.9
1786332034.603,8.1,9.6
1786332034.904,-0.8,1.3
1786332035.204,3.9,1.8
1786332035.504,3.6,3.2
1786332035.805,3.5,0.8
1786332036.105,5.7,14.3
