t_unix,status,q0_deg,cur0_a,temp0_c,q1_deg,cur1_a,temp1_c,q2_deg,cur2_a,temp2_c,q3_deg,cur3_a,temp3_c,q4_deg,cur4_a,temp4_c,q5_deg,cur5_a,temp5_c,q6_deg,cur6_a,temp6_c,q7_deg,cur7_a,temp7_c,q8_deg,cur8_a,temp8_c,q9_deg,cur9_a,temp9_c,q10_deg,cur10_a,temp10_c,q11_deg,cur11_a,temp11_c,q12_deg,cur12_a,temp12_c,q13_deg,cur13_a,temp13_c,q14_deg,cur14_a,temp14_c,q15_deg,cur15_a,temp15_c,q16_deg,cur16_a,temp16_c,q17_deg,cur17_a,temp17_c
1786332314.852,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332315.238,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332315.765,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.006,35,6.24,0.0,34,14.15,0.013,36,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332316.190,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,54,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332316.594,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,35,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332317.001,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.006,35,6.24,0.006,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.019,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332317.434,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.006,36,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.019,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332317.873,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332318.379,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,50,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.019,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332318.800,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,36,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,37,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332319.235,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,36,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332319.735,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,35,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332320.207,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332320.645,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.006,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,32,17.93,0.026,34,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332321.088,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,37,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332321.489,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.013,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332321.919,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.006,35,6.24,0.006,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.0,35,5.98,0.0,31,14.77,0.0,34,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,35,79.19,0.006,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332322.358,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,36,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,34,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,34,14.77,0.0,34,83.85,0.013,35
1786332322.771,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,36,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.019,35,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332323.252,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.006,34,14.15,0.013,37,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,32,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.013,35
1786332323.779,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.006,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,35,83.67,0.006,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.0,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,32,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
1786332324.187,walk vx=0.000 vy=0.000 w=0.00,-6.06,0.0,34,18.37,0.0,34,78.75,0.0,35,6.24,0.0,34,14.15,0.013,35,83.67,0.013,38,-5.98,0.0,34,18.63,0.0,33,79.28,0.006,35,5.98,0.0,31,14.77,0.0,35,83.5,0.0,35,-5.89,0.006,31,17.93,0.026,34,79.19,0.013,33,5.98,0.0,33,14.77,0.0,34,83.85,0.006,35
