t_unix,bus_ts,tag,q2_deg
1786331504.8563,1786331504.8539019,up5,84.02
1786331504.8893,1786331504.8862128,up5,84.02
1786331504.9170,1786331504.9144154,up5,84.02
1786331504.9500,1786331504.9471948,up5,84.02
1786331504.9775,1786331504.9751198,up5,84.02
1786331505.0112,1786331505.008312,up5,84.02
1786331505.0385,1786331505.0358355,up5,84.02
1786331505.0710,1786331505.0687754,up5,84.02
1786331505.0983,1786331505.0959504,up5,84.02
1786331505.1316,1786331505.1290855,up5,84.02
1786331505.1589,1786331505.15639,up5,84.02
1786331505.1924,1786331505.1895432,up5,84.02
1786331505.2197,1786331505.2175055,up5,84.02
1786331505.2509,1786331505.2488284,up5,84.02
1786331505.2769,1786331505.2746162,up5,84.02
1786331505.3100,1786331505.307695,up5,84.02
1786331505.3368,1786331505.3341546,up5,84.02
1786331505.3693,1786331505.3667781,up5,84.02
1786331505.3968,1786331505.3942869,up5,84.02
1786331505.4295,1786331505.4271722,up5,84.02
1786331505.4564,1786331505.4540386,up5,84.02
1786331505.4900,1786331505.4875138,up5,84.02
1786331505.5169,1786331505.5144043,up5,84.02
1786331505.5497,1786331505.547319,up5,84.02
1786331505.5764,1786331505.5741096,up5,84.02
1786331505.6089,1786331505.6066597,up5,84.02
1786331505.6365,1786331505.6339521,up5,84.02
1786331505.6696,1786331505.6672504,up5,84.02
1786331505.6952,1786331505.6930778,up5,84.02
1786331505.7273,1786331505.7248452,up5,84.02
1786331505.7541,1786331505.7515368,up5,84.02
1786331505.7872,1786331505.7845445,up5,84.02
1786331505.8139,1786331505.8114133,up5,84.02
1786331505.8471,1786331505.8443835,up5,84.02
1786331505.8743,1786331505.8716853,up5,84.02
1786331505.9066,1786331505.9042516,up5,84.02
1786331505.9337,1786331505.9315257,up5,84.02
1786331505.9661,1786331505.963705,up5,84.02
1786331505.9932,1786331505.990657,up5,84.02
1786331506.0267,1786331506.0238085,up5,84.02
1786331506.0544,1786331506.0516942,up5,84.02
1786331506.0878,1786331506.0853355,up5,84.02
1786331506.1145,1786331506.1119018,up5,84.02
1786331506.1482,1786331506.14517,up5,84.02
1786331506.1766,1786331506.1744819,up5,84.02
1786331506.2087,1786331506.2061498,up5,84.02
1786331506.2354,1786331506.2326984,up5,84.02
1786331506.2622,1786331506.2595253,up5,84.02
1786331506.2944,1786331506.292054,up5,84.02
1786331506.3217,1786331506.3190112,up5,84.02
1786331506.3553,1786331506.3529027,up5,84.02
1786331506.3827,1786331506.3799748,up5,84.02
1786331506.4157,1786331506.4131477,up5,84.02
1786331506.4439,1786331506.441156,up5,84.02
1786331506.4767,1786331506.474461,up5,84.02
1786331506.5030,1786331506.5008323,up5,84.02
1786331506.5379,1786331506.5350318,up5,84.02
1786331506.5644,1786331506.5622284,up5,84.02
1786331506.5979,1786331506.5952008,up5,84.02
1786331506.6251,1786331506.6225755,up5,84.02
1786331506.6588,1786331506.655814,up5,84.02
1786331506.6863,1786331506.6839368,up5,84.02
1786331506.7195,1786331506.7168279,up5,84.02
1786331506.7461,1786331506.7438176,up5,84.02
1786331506.7784,1786331506.7760363,up5,84.02
1786331506.8044,1786331506.80192,up5,84.02
1786331506.8368,1786331506.8342414,up5,84.02
1786331506.8630,1786331506.860549,up5,84.02
1786331506.8973,1786331506.8946662,up5,84.02
1786331506.9235,1786331506.921098,up5,84.02
1786331506.9557,1786331506.953142,up5,84.02
1786331506.9830,1786331506.9807718,up5,84.02
1786331507.0164,1786331507.0139005,up5,84.02
1786331507.0433,1786331507.0408733,up5,84.02
1786331507.0767,1786331507.0742047,up5,84.02
