t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.4,0.91,3.19,1.24,1.36,-3.72,0.0,0.0,0.0,0.058,0.35,-11.34,11.69,9.67,-11.34,11.95,6.59,-11.6,11.69,-8.79,-11.43,8.53,-3.08,-11.78,8.88,10.02,-0.44,3.34,-1.32,-16.5,16.68,7.41,-16.59,16.59,1.68,-16.41,16.85,-10.41,-16.59,10.59,-1.41,-16.5,13.5,11.6,4.41,-1.59,0.0022,-0.1347,-0.5163,0.2265,-0.0795,-0.2165,-0.0638,-1.0,0.5573,-0.1804,-0.0545,-0.5433,-0.221,-0.5237,-0.0714,0.5781,0.667,-1.0,0.058,0.019,0.006,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.013,0.006,0.013,0.013
0.44,0.87,3.12,-0.98,-0.82,1.32,0.0,0.0,0.0,0.058,-0.7,-12.22,12.66,8.53,-12.3,13.1,5.62,-12.66,12.74,-9.58,-12.39,9.23,-2.2,-12.74,10.02,10.2,0.44,2.29,0.18,-18.0,18.18,7.58,-18.09,18.09,3.18,-17.91,18.35,-8.91,-18.09,12.09,-2.55,-18.0,15.0,13.1,5.91,-3.09,0.0154,-0.1521,-0.2004,0.2166,-0.1822,-0.1973,0.1348,-1.0,0.363,-0.1313,0.0431,-0.3232,-0.073,-0.2524,0.0995,0.6415,0.8121,-1.0,0.058,0.019,0.006,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.013,0.006,0.013,0.013
0.48,0.84,3.13,-0.46,-0.2,3.33,0.0,0.0,0.0,0.058,-1.58,-13.45,13.89,8.0,-13.54,14.41,4.48,-14.06,13.97,-10.11,-13.71,10.11,-1.67,-14.15,11.34,10.99,1.76,1.05,1.68,-19.5,19.68,6.81,-19.59,19.59,4.68,-19.41,19.85,-7.41,-19.59,13.59,-4.05,-19.5,16.5,14.6,7.41,-4.59,0.0815,-0.1861,-0.1809,0.1945,-0.2148,-0.1611,0.1878,-1.0,0.5266,-0.0055,-0.0103,-0.4314,-0.3085,-0.4129,0.1086,0.5672,0.6352,-1.0,0.058,0.019,0.006,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.013,0.006,0.013,0.013
0.52,0.88,3.15,1.22,0.73,-2.92,0.0,0.0,0.0,0.058,-1.05,-14.94,15.29,7.47,-14.94,15.82,3.43,-15.47,15.29,-10.28,-15.12,11.25,-1.58,-15.47,12.92,11.78,3.08,-0.26,2.55,-21.0,21.18,6.71,-21.09,21.09,6.18,-20.91,21.35,-5.91,-21.09,15.09,-4.58,-21.0,18.0,16.1,7.05,-6.09,0.073,-0.1036,-0.0834,0.1917,-0.1735,-0.2389,0.2571,-1.0,0.4472,0.0545,0.0626,-0.2674,-0.1309,-0.3431,0.1287,0.6691,0.5828,-0.9685,0.006,0.026,0.013,0.0,0.026,0.013,0.006,0.019,0.019,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.006,0.013
0.56,0.77,3.07,-1.65,-1.39,3.11,0.0,0.0,0.0,0.058,-1.41,-16.26,16.7,7.03,-16.26,17.31,2.72,-16.88,16.7,-10.2,-16.44,12.57,-1.85,-16.96,14.24,13.01,4.48,-1.67,2.34,-22.5,22.68,5.67,-22.59,22.59,7.68,-22.41,22.85,-4.41,-22.59,16.59,-6.08,-22.5,19.5,17.6,7.87,-7.58,0.0667,-0.0837,-0.0595,0.162,-0.2031,-0.2105,0.3293,-1.0,0.4051,0.0131,0.0297,-0.3424,-0.1739,-0.3221,0.3542,0.5996,0.5976,-0.8538,0.006,0.026,0.013,0.0,0.026,0.013,0.006,0.019,0.019,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.006,0.013
0.6,0.77,3.09,0.89,0.52,-4.26,0.0,0.0,0.0,0.058,0.26,-17.75,18.11,6.68,-17.67,18.63,2.2,-18.28,18.19,-9.23,-17.84,13.71,-2.55,-18.37,15.64,14.33,5.54,-3.08,0.93,-24.0,24.18,5.21,-24.09,24.09,9.18,-23.91,24.35,-2.91,-24.09,18.09,-4.58,-24.0,21.0,19.1,6.37,-9.08,0.0265,-0.0999,-0.0515,0.149,-0.1204,-0.2833,0.2779,-1.0,0.394,0.0672,0.0056,-0.4026,-0.0802,-0.396,0.2681,0.5726,0.4404,-0.9554,0.006,0.026,0.013,0.0,0.026,0.013,0.006,0.019,0.019,0.006,0.026,0.013,0.013,0.026,0.013,0.013,0.006,0.013
0.64,0.73,3.05,-1.54,-0.89,1.44,0.0,0.0,0.0,0.058,0.0,-19.07,19.51,6.33,-19.16,20.13,2.2,-19.69,19.6,-8.26,-19.34,15.12,-3.43,-19.78,17.05,15.73,6.5,-4.48,-0.06,-25.5,25.68,3.71,-25.59,25.59,10.68,-25.41,25.85,-3.12,-25.25,19.59,-3.08,-25.5,22.5,19.36,6.34,-7.58,-0.0017,-0.1225,-0.0467,0.0801,-0.1505,-0.2547,0.3168,-1.0,0.329,-0.0892,-0.0046,-0.3576,0.0593,-0.2824,0.3744,0.5531,0.5698,-0.7637,0.045,0.026,0.013,0.013,0.026,0.006,0.006,0.026,0.019,0.019,0.026,0.006,0.006,0.033,0.006,0.013,0.0,0.013
0.68,0.72,3.09,0.69,0.6,1.62,0.0,0.0,0.0,0.058,0.79,-20.57,20.92,5.54,-20.57,21.62,2.2,-21.09,20.92,-7.12,-20.65,16.44,-4.22,-21.18,18.46,16.96,7.21,-5.89,-0.74,-27.0,27.18,2.21,-27.09,27.09,9.18,-26.91,27.35,-1.62,-26.75,21.09,-1.58,-27.0,24.0,18.68,4.84,-9.08,-0.0213,-0.1411,-0.0285,0.0568,-0.1059,-0.3179,0.1972,-1.0,0.3821,-0.0361,-0.0551,-0.4284,0.102,-0.3487,0.3064,0.5337,0.4812,-0.9189,0.045,0.026,0.013,0.013,0.026,0.006,0.006,0.026,0.019,0.019,0.026,0.006,0.006,0.033,0.006,0.013,0.0,0.013
0.72,0.75,3.09,0.95,0.51,-4.0,0.0,0.0,0.0,0.058,1.05,-21.88,22.41,4.66,-21.97,23.03,2.72,-22.59,22.32,-5.54,-22.15,17.75,-4.48,-22.68,19.95,17.93,7.65,-7.03,-1.09,-28.5,28.68,1.02,-28.59,28.59,7.68,-28.41,28.85,-2.94,-28.25,22.59,-0.08,-28.5,25.5,19.92,6.34,-7.58,-0.0311,-0.1807,-0.0498,0.0293,-0.1293,-0.3217,0.1798,-1.0,0.3916,-0.084,-0.0941,-0.404,0.2386,-0.2689,0.2918,0.5691,0.5853,-0.7444,0.045,0.026,0.013,0.013,0.026,0.006,0.006,0.026,0.019,0.019,0.026,0.006,0.006,0.033,0.006,0.013,0.0,0.013
0.76,0.66,3.01,-1.62,-1.1,0.61,0.0,0.0,0.0,0.058,-0.09,-23.38,23.82,3.78,-23.38,24.43,4.04,-23.99,23.82,-4.31,-23.55,19.25,-4.48,-24.08,21.36,18.81,7.65,-7.91,-1.02,-30.0,30.18,-0.48,-30.09,30.09,6.18,-29.91,30.35,-3.41,-26.75,24.09,1.42,-30.0,27.0,21.24,7.84,-6.08,-0.0292,-0.2141,-0.0895,-0.0801,-0.1522,-0.332,0.1732,-1.0,0.4315,-0.0974,-0.0014,-0.3025,0.2162,-0.2605,0.3513,0.6067,0.6319,-0.7735,0.0,0.019,0.013,0.006,0.033,0.013,0.013,0.033,0.013,0.013,0.013,0.006,0.013,0.026,0.006,0.013,0.013,0.006
0.8,0.73,3.07,1.86,1.52,-1.4,0.0,0.0,0.0,0.058,0.18,-24.79,25.22,2.02,-24.79,25.84,5.1,-25.4,25.22,-3.25,-24.87,20.65,-3.96,-25.49,22.76,19.69,7.56,-8.53,0.48,-31.5,31.68,-0.84,-28.59,31.59,4.68,-31.41,31.85,-1.91,-25.25,25.59,2.92,-31.5,28.5,22.25,6.34,-7.58,0.0158,-0.2047,-0.0268,-0.0239,-0.0098,-0.344,0.1087,-1.0,0.5016,0.0365,-0.0021,-0.3615,0.1663,-0.3337,0.305,0.6357,0.5627,-0.8624,0.0,0.019,0.013,0.006,0.033,0.013,0.013,0.033,0.013,0.013,0.013,0.006,0.013,0.026,0.006,0.013,0.013,0.006
0.84,0.62,3.02,-2.13,-1.59,2.06,0.0,0.0,0.0,0.058,-1.41,-26.19,26.63,1.41,-26.19,27.25,6.06,-26.81,26.63,-2.55,-25.93,22.06,-3.08,-26.89,24.26,20.65,7.47,-8.79,1.26,-33.0,33.18,-1.99,-30.09,33.09,5.21,-32.91,33.35,-0.41,-25.58,27.09,4.42,-33.0,30.0,23.44,7.84,-6.08,0.0359,-0.2765,0.0414,-0.0568,-0.1594,-0.3469,0.1488,-1.0,0.5854,0.0348,-0.0106,-0.3445,0.2894,-0.1781,0.3349,0.6698,0.752,-0.7106,0.0,0.019,0.013,0.006,0.033,0.013,0.013,0.033,0.013,0.013,0.013,0.006,0.013,0.026,0.006,0.013,0.013,0.006
0.88,0.67,3.03,1.99,1.9,-2.5,0.0,0.0,0.0,0.058,-0.97,-27.69,27.95,0.53,-27.42,28.65,6.68,-28.21,28.04,-1.85,-26.72,23.47,-2.02,-28.3,25.66,21.62,7.47,-8.79,-0.24,-34.5,34.68,-3.49,-28.59,31.59,3.71,-34.41,34.85,1.09,-24.08,28.59,5.92,-34.5,31.5,22.4,9.34,-7.58,-0.0283,-0.2626,0.0954,-0.1949,0.0216,-0.4182,0.0982,-1.0,0.6065,0.1497,0.0286,-0.3194,0.2713,-0.3284,0.3735,0.64,0.6484,-0.9344,0.006,0.019,0.013,0.006,0.019,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.019,0.019,0.013,0.013,0.006,0.013
0.92,0.67,2.96,-0.51,-0.48,0.73,0.0,0.0,0.0,0.058,-0.35,-29.0,29.53,-1.41,-28.39,30.06,7.03,-29.53,29.44,-0.88,-27.25,24.87,-0.53,-29.71,27.07,22.5,7.56,-8.35,0.39,-36.0,36.18,-4.99,-30.09,30.91,4.56,-35.91,36.35,2.59,-25.58,27.36,7.42,-36.0,33.0,22.09,10.84,-6.46,0.0112,-0.3232,0.1219,-0.1553,-0.0982,-0.401,0.1304,-1.0,0.6793,0.2012,-0.0271,-0.4429,0.3079,-0.2319,0.4173,0.6312,0.7688,-0.8407,0.006,0.019,0.013,0.006,0.019,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.019,0.019,0.013,0.013,0.006,0.013
0.96,0.59,2.92,-1.48,-0.99,2.18,0.0,0.0,0.0,0.058,-0.62,-30.41,30.85,-1.76,-29.09,30.94,7.03,-31.11,30.85,0.26,-27.42,26.1,0.88,-31.2,28.48,23.12,8.09,-7.82,-1.11,-37.5,37.68,-6.49,-28.59,29.41,5.85,-37.41,37.85,4.09,-25.54,28.86,8.92,-37.5,34.5,23.59,10.97,-7.96,-0.0703,-0.3944,-0.0046,-0.3074,0.0075,-0.4891,0.1671,-1.0,0.6375,0.156,-0.0099,-0.4082,0.3751,-0.3315,0.3695,0.7184,0.6539,-1.0,0.006,0.019,0.013,0.006,0.019,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.019,0.019,0.013,0.013,0.006,0.013
1.0,0.63,2.96,1.7,1.53,-2.78,0.0,0.0,0.0,0.058,0.7,-31.9,32.34,-2.99,-29.44,31.64,6.86,-32.52,32.26,1.32,-27.33,27.33,2.2,-32.61,29.97,23.29,9.05,-7.21,-2.41,-39.0,39.18,-7.99,-27.09,27.91,4.35,-38.91,39.35,5.59,-27.04,27.36,10.42,-39.0,36.0,25.09,9.47,-9.46,-0.0689,-0.3992,0.111,-0.2845,0.0822,-0.5084,0.1127,-1.0,0.5923,0.2593,-0.0871,-0.5212,0.3904,-0.3621,0.3799,0.7345,0.5415,-1.0,0.033,0.026,0.006,0.006,0.006,0.006,0.013,0.033,0.019,0.019,0.006,0.0,0.013,0.019,0.013,0.019,0.0,0.0
1.04,0.55,2.93,-1.22,-1.09,4.27,0.0,0.0,0.0,0.058,-0.18,-33.22,33.75,-5.01,-29.53,31.99,6.06,-33.84,33.66,2.81,-26.81,28.04,3.69,-34.01,31.29,23.64,9.93,-7.03,-3.32,-40.5,40.68,-9.49,-27.22,26.41,5.85,-40.41,40.85,4.23,-28.54,25.86,11.92,-40.5,37.5,26.59,7.97,-10.96,-0.0948,-0.4293,0.0297,-0.3818,-0.0404,-0.5387,0.2448,-1.0,0.5004,0.1208,-0.1282,-0.5526,0.5161,-0.3076,0.4029,0.8046,0.5424,-1.0,0.033,0.026,0.006,0.006,0.006,0.006,0.013,0.033,0.019,0.019,0.006,0.0,0.013,0.019,0.013,0.019,0.0,0.0
1.08,0.52,2.97,0.25,0.58,-2.1,0.0,0.0,0.0,0.058,-0.53,-34.72,35.07,-5.36,-29.36,31.99,5.27,-35.33,35.07,3.87,-26.63,28.65,5.01,-35.33,32.78,24.26,10.46,-7.03,-3.15,-42.0,42.18,-10.99,-25.72,24.91,7.35,-41.91,42.35,5.73,-30.04,24.36,13.42,-42.0,39.0,28.09,6.47,-12.46,-0.0901,-0.4329,-0.034,-0.3491,0.0858,-0.5271,0.2522,-1.0,0.4569,0.2683,-0.177,-0.5802,0.4066,-0.4769,0.4008,0.818,0.39,-1.0,0.033,0.026,0.006,0.006,0.006,0.006,0.013,0.033,0.019,0.019,0.006,0.0,0.013,0.019,0.013,0.019,0.0,0.0
1.12,0.57,2.94,1.5,0.78,-0.78,0.0,0.0,0.0,0.058,-1.05,-36.12,36.56,-7.21,-28.56,31.55,4.75,-36.74,36.47,4.75,-26.63,28.65,6.42,-36.83,34.19,25.14,10.72,-7.65,-2.46,-43.5,43.68,-10.61,-27.22,23.41,8.85,-43.41,43.85,7.23,-30.89,22.86,14.92,-42.88,40.5,28.5,4.97,-13.96,-0.0703,-0.4025,0.1438,-0.3032,-0.0789,-0.4951,0.3046,-1.0,0.4243,0.2809,-0.1071,-0.5729,0.4882,-0.3252,0.4044,0.8143,0.515,-1.0,0.0,0.026,0.013,0.0,0.006,0.013,0.0,0.033,0.019,0.013,0.013,0.006,0.013,0.019,0.013,0.013,0.0,0.013
1.16,0.49,2.88,-1.34,-1.03,2.77,0.0,0.0,0.0,0.058,-2.55,-37.53,37.97,-8.88,-27.77,30.59,4.57,-38.14,37.88,5.54,-27.16,28.65,7.91,-38.23,35.6,26.28,10.72,-8.53,-2.24,-45.0,45.18,-10.8,-28.72,24.91,10.35,-44.91,45.35,8.73,-29.39,21.36,13.42,-41.53,42.0,27.0,6.47,-15.46,-0.064,-0.4479,-0.0324,-0.3087,-0.2123,-0.4561,0.4054,-1.0,0.5036,0.3225,-0.0395,-0.5423,0.3408,-0.3005,0.5583,0.6929,0.6246,-1.0,0.0,0.026,0.013,0.0,0.006,0.013,0.0,0.033,0.019,0.013,0.013,0.006,0.013,0.019,0.013,0.013,0.0,0.013
1.2,0.52,2.9,1.25,0.92,-2.37,0.0,0.0,0.0,0.058,-2.2,-39.02,39.38,-9.14,-27.07,29.53,4.57,-39.55,39.29,6.5,-27.95,27.69,9.32,-39.64,37.0,27.25,10.37,-9.67,-0.74,-44.91,46.68,-9.3,-30.22,26.41,11.85,-46.41,46.85,10.23,-27.89,22.86,11.92,-43.02,43.5,25.5,7.97,-16.96,0.0011,-0.362,-0.0443,-0.2442,-0.1232,-0.4409,0.3816,-1.0,0.5838,0.4784,0.1322,-0.4389,0.1765,-0.3277,0.476,0.6819,0.6023,-1.0,0.0,0.026,0.013,0.0,0.006,0.013,0.0,0.033,0.019,0.013,0.013,0.006,0.013,0.019,0.013,0.013,0.0,0.013
1.24,0.52,2.87,-0.26,0.68,2.99,0.0,0.0,0.0,0.058,-3.34,-40.34,40.78,-10.02,-26.72,28.39,4.75,-40.96,40.78,7.65,-28.56,26.72,10.55,-40.78,38.5,27.95,9.67,-11.07,-0.02,-43.82,48.18,-7.8,-31.72,27.91,13.35,-47.91,48.35,11.73,-26.39,24.36,10.42,-41.52,45.0,24.0,9.47,-15.46,-0.0005,-0.3422,0.0478,-0.1646,-0.2452,-0.3708,0.4579,-1.0,0.6447,0.4195,0.2327,-0.3299,0.1739,-0.1473,0.6023,0.5486,0.787,-0.7671,0.033,0.026,0.006,0.0,0.006,0.006,0.019,0.026,0.019,0.026,0.013,0.013,0.013,0.013,0.013,0.006,0.019,0.019
1.28,0.54,2.86,1.56,1.89,-0.62,0.0,0.0,0.0,0.058,-2.46,-41.57,42.28,-11.16,-26.72,27.42,5.98,-42.36,42.1,8.88,-28.92,25.66,11.51,-41.66,39.9,28.21,8.96,-12.39,0.99,-42.32,49.68,-6.3,-33.22,29.41,14.85,-49.41,49.85,13.23,-24.89,25.86,8.92,-40.02,46.5,22.5,10.97,-13.96,0.0282,-0.2761,0.0808,-0.1111,-0.1779,-0.4013,0.4306,-1.0,0.7659,0.5404,0.2972,-0.2952,0.0892,-0.2009,0.6385,0.4126,0.8753,-0.6361,0.033,0.026,0.006,0.0,0.006,0.006,0.019,0.026,0.019,0.026,0.013,0.013,0.013,0.013,0.013,0.006,0.019,0.019
1.32,0.55,2.86,-0.41,-0.26,-0.64,0.0,0.0,0.0,0.058,-1.85,-42.63,43.68,-10.63,-26.81,26.81,7.29,-43.77,43.59,10.02,-28.92,24.96,12.22,-42.28,41.31,28.12,8.61,-13.54,2.08,-40.82,51.18,-4.8,-32.22,30.66,15.01,-50.91,51.35,14.73,-23.39,27.36,7.42,-38.52,48.0,21.0,12.47,-12.46,0.0593,-0.271,0.0171,-0.1175,-0.1313,-0.404,0.4289,-1.0,0.8289,0.4496,0.3651,-0.2338,0.0912,-0.1696,0.6346,0.3887,0.9249,-0.4793,0.033,0.026,0.006,0.0,0.006,0.006,0.019,0.026,0.019,0.026,0.013,0.013,0.013,0.013,0.013,0.006,0.019,0.019
1.36,0.5,2.79,-0.68,0.19,1.11,0.0,0.0,0.0,0.058,-1.23,-43.42,45.0,-10.11,-27.6,26.54,8.7,-45.26,45.0,11.51,-28.56,24.43,12.66,-42.63,42.8,27.6,8.61,-14.41,0.58,-39.32,52.68,-6.09,-30.72,29.16,13.51,-52.41,52.85,13.23,-21.89,28.86,5.92,-37.94,49.5,19.5,13.97,-10.96,-0.005,-0.241,0.0839,-0.174,0.036,-0.5079,0.3517,-1.0,0.7758,0.3771,0.3627,-0.2687,0.1546,-0.2353,0.624,0.414,0.8274,-0.5844,0.006,0.013,0.013,0.019,0.019,0.0,0.013,0.026,0.013,0.019,0.0,0.006,0.006,0.006,0.013,0.006,0.0,0.006
