t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.4,-1.7,4.08,8.3,-3.46,6.55,0.0,0.0,0.0,0.111,-7.12,17.67,77.61,0.7,11.43,71.37,10.11,14.33,81.74,-10.72,7.21,82.79,1.41,13.01,78.13,-10.81,6.59,87.28,-1.68,20.75,71.69,-6.18,4.62,76.28,13.5,20.22,76.72,-16.32,2.06,88.63,-1.68,19.43,78.67,-16.41,0.81,90.76,1.0,0.0934,-0.1339,-1.0,-1.0,0.2023,-0.8363,1.0,-0.9269,-0.5613,-1.0,1.0,-1.0,1.0,0.2963,-1.0,-1.0,-0.4492,0.006,0.033,0.0,0.013,0.0,0.026,0.019,0.013,0.0,0.019,0.0,0.033,0.013,0.104,0.019,0.019,0.0,0.033
0.44,-1.64,4.02,2.05,-3.03,-2.52,0.0,0.0,0.0,0.111,-6.33,18.72,77.17,-0.35,10.11,70.84,11.34,15.38,81.21,-12.22,6.06,84.38,0.44,14.06,77.52,-12.3,5.27,88.77,-3.18,19.25,70.19,-7.68,3.12,74.78,12.0,21.72,75.22,-14.82,0.56,90.13,-3.18,20.93,80.17,-17.91,-0.69,89.26,-0.2951,-1.0,-1.0,-1.0,-1.0,-0.0082,-1.0,1.0,-0.8018,1.0,-0.0053,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.006,0.033,0.0,0.013,0.0,0.026,0.019,0.013,0.0,0.019,0.0,0.033,0.013,0.104,0.019,0.019,0.0,0.033
0.48,-1.51,4.01,5.52,-2.1,-4.48,0.0,0.0,0.0,0.163,-5.54,19.69,76.55,-1.41,8.88,70.84,12.39,16.52,80.42,-13.54,4.92,85.87,-0.7,15.21,77.61,-13.8,4.66,90.0,-4.68,17.75,68.69,-9.18,1.62,73.28,10.5,23.22,73.72,-13.32,2.06,91.63,-4.68,19.43,81.67,-16.41,-2.19,87.76,-1.0,-0.7123,-1.0,-1.0,-1.0,-0.1101,-1.0,1.0,-0.2966,1.0,0.648,1.0,-1.0,0.0773,1.0,1.0,-1.0,-1.0,0.0,0.045,0.013,0.006,0.019,0.006,0.019,0.097,0.026,0.013,0.019,0.006,0.019,0.163,0.006,0.013,0.026,0.013
0.52,-1.41,4.31,4.72,9.52,-4.13,0.0,0.0,0.0,0.163,-4.57,20.21,75.41,-3.08,7.82,70.93,13.18,17.75,79.01,-14.5,4.22,87.36,-1.85,16.44,77.78,-15.21,3.08,90.97,-6.18,16.25,67.19,-10.68,0.12,74.78,9.0,24.72,72.22,-11.82,0.56,93.13,-6.18,17.93,83.17,-14.91,-3.69,86.26,-1.0,-0.6754,-0.4425,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-0.0887,1.0,-1.0,0.5259,1.0,1.0,-1.0,-1.0,0.0,0.045,0.013,0.006,0.019,0.006,0.019,0.097,0.026,0.013,0.019,0.006,0.019,0.163,0.006,0.013,0.026,0.013
0.56,-1.14,4.53,5.89,7.94,-3.98,0.0,0.0,0.0,0.163,-4.13,20.57,74.36,-4.57,6.68,71.37,13.71,19.07,77.78,-15.21,2.64,88.77,-2.9,17.14,78.57,-16.17,1.49,91.58,-4.68,17.75,65.69,-12.18,-1.38,76.28,7.5,23.22,70.72,-10.32,-0.94,94.63,-7.68,16.43,84.67,-13.41,-5.19,84.76,0.6832,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.6556,-1.0,1.0,-1.0,1.0,-1.0,0.3363,0.3395,1.0,-0.4735,-1.0,0.0,0.045,0.013,0.006,0.019,0.006,0.019,0.097,0.026,0.013,0.019,0.006,0.019,0.163,0.006,0.013,0.026,0.013
0.6,-1.28,4.49,-5.77,1.97,-7.53,0.0,0.0,0.0,0.221,-3.69,20.74,72.95,-5.98,5.01,72.77,13.89,20.3,76.46,-15.64,1.67,90.26,-4.13,17.75,79.37,-16.88,0.09,91.76,-3.18,19.25,64.19,-13.68,-2.88,77.78,6.0,21.72,69.22,-8.82,-2.44,96.13,-9.18,17.93,83.17,-11.91,-6.69,83.26,0.7693,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.3039,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.1746,-0.1445,-1.0,0.006,0.026,0.013,0.013,0.019,0.019,0.006,0.111,0.052,0.006,0.026,0.006,0.039,0.221,0.084,0.006,0.026,0.0
0.64,-1.11,4.42,2.02,0.36,-8.32,0.0,0.0,0.0,0.221,-3.43,20.74,71.63,-7.47,3.52,74.09,13.89,21.27,74.97,-15.64,0.53,91.76,-5.62,17.84,80.42,-17.23,-1.32,91.76,-4.68,20.75,62.69,-15.18,-4.38,79.28,4.5,23.22,67.72,-7.32,-3.94,97.63,-10.68,16.43,81.67,-10.41,-8.19,81.76,-1.0,1.0,-1.0,-1.0,-0.2519,0.5291,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.7109,-1.0,0.6586,-0.9816,-1.0,0.006,0.026,0.013,0.013,0.019,0.019,0.006,0.111,0.052,0.006,0.026,0.006,0.039,0.221,0.084,0.006,0.026,0.0
0.68,-1.01,4.24,2.56,-4.58,-6.27,0.0,0.0,0.0,0.221,-2.9,20.65,70.4,-8.88,2.2,75.5,13.54,21.88,73.3,-15.38,-0.7,93.08,-7.03,17.84,81.47,-17.14,-2.72,91.41,-6.18,22.25,61.19,-16.68,-5.88,77.78,3.0,21.72,66.22,-5.82,-5.44,99.13,-12.18,14.93,83.17,-8.91,-9.69,80.26,-1.0,1.0,-1.0,-1.0,0.1113,-1.0,-1.0,-0.3389,-0.7415,1.0,-1.0,1.0,-1.0,0.2119,1.0,1.0,-0.0937,-1.0,0.006,0.026,0.013,0.013,0.019,0.019,0.006,0.111,0.052,0.006,0.026,0.006,0.039,0.221,0.084,0.006,0.026,0.0
0.72,-0.1,5.07,21.61,19.45,1.63,0.0,0.0,0.0,0.221,-3.87,20.48,68.55,-10.28,0.62,76.82,12.83,22.24,71.72,-14.33,-1.85,94.48,-8.53,17.84,82.27,-16.88,-4.22,90.26,-7.68,20.75,62.69,-18.18,-7.38,76.28,1.5,23.22,64.72,-4.32,-3.94,100.63,-13.68,16.43,84.67,-7.41,-8.19,78.76,-1.0,-0.2626,0.3413,-1.0,-0.6235,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.3382,-1.0,0.0,0.006,0.0,0.019,0.0,0.006,0.013,0.136,0.013,0.013,0.019,0.0,0.026,0.026,0.026,0.006,0.013,0.013
0.76,1.05,6.67,32.86,44.11,16.09,0.0,0.0,0.0,0.221,-4.39,20.39,66.8,-11.69,-0.62,77.78,11.69,22.24,70.31,-13.36,-3.16,95.89,-9.84,17.84,83.06,-15.82,-5.54,88.86,-6.18,22.25,64.19,-19.68,-8.88,77.78,-0.0,21.72,63.22,-2.82,-5.44,102.13,-15.18,17.93,86.17,-5.91,-6.69,77.26,1.0,1.0,0.4209,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.5341,1.0,-1.0,1.0,0.7017,1.0,1.0,-1.0,0.0,0.006,0.0,0.019,0.0,0.006,0.013,0.136,0.013,0.013,0.019,0.0,0.026,0.026,0.026,0.006,0.013,0.013
0.8,1.07,7.17,3.09,15.25,15.8,0.0,0.0,0.0,0.221,-5.27,20.21,65.48,-13.1,-2.81,78.49,10.28,22.24,69.08,-11.95,-4.04,97.29,-11.16,16.61,84.64,-14.85,-6.5,87.98,-4.68,23.75,65.69,-21.18,-10.38,79.28,-1.5,20.22,61.72,-1.32,-6.94,103.63,-16.68,19.43,84.67,-4.41,-5.19,75.76,1.0,1.0,0.043,-1.0,-1.0,1.0,-1.0,-1.0,-0.7015,1.0,-1.0,1.0,-1.0,1.0,-0.8354,-0.1002,1.0,-1.0,0.0,0.006,0.0,0.019,0.0,0.006,0.013,0.136,0.013,0.013,0.019,0.0,0.026,0.026,0.026,0.006,0.013,0.013
0.84,0.9,6.24,-2.17,-27.51,-13.79,0.0,0.0,0.0,0.221,-5.8,20.21,64.42,-14.33,-3.78,78.93,9.14,21.71,67.41,-10.63,-4.92,98.7,-12.74,16.26,84.81,-13.45,-7.29,86.4,-3.18,25.25,64.19,-22.68,-11.88,80.78,-3.0,18.72,63.22,0.18,-8.44,105.13,-18.18,20.93,86.17,-5.91,-3.69,74.26,1.0,1.0,-0.6267,-1.0,-1.0,1.0,-1.0,-1.0,0.2303,1.0,-0.6122,1.0,-1.0,1.0,0.2672,-0.4749,1.0,-1.0,0.033,0.084,0.0,0.019,0.065,0.006,0.019,0.006,0.013,0.013,0.019,0.013,0.013,0.006,0.019,0.006,0.019,0.013
0.88,1.03,5.31,1.5,-27.11,-21.04,0.0,0.0,0.0,0.221,-6.15,20.57,63.72,-16.52,-4.57,79.45,8.0,20.83,65.74,-9.14,-5.89,100.2,-14.77,16.26,85.34,-11.78,-8.0,84.9,-4.68,23.75,65.69,-24.18,-13.38,82.28,-4.5,20.22,64.72,1.68,-6.94,103.63,-19.68,22.43,84.67,-4.41,-2.19,72.76,-1.0,-0.3222,0.0854,-1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0415,-1.0,1.0,-0.1862,1.0,1.0,-1.0,0.033,0.084,0.0,0.019,0.065,0.006,0.019,0.006,0.013,0.013,0.019,0.013,0.013,0.006,0.019,0.006,0.019,0.013
0.92,0.7,5.29,-11.22,-4.95,-14.78,0.0,0.0,0.0,0.221,-6.15,21.36,63.19,-16.79,-6.42,80.24,6.5,19.95,64.95,-7.73,-6.86,101.51,-16.0,16.26,85.87,-10.72,-8.17,83.41,-6.18,22.25,67.19,-25.68,-14.88,83.78,-6.0,21.72,66.22,3.18,-5.44,102.13,-21.18,20.93,83.17,-2.91,-0.69,71.26,-1.0,-1.0,1.0,-1.0,0.0537,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0745,-0.1138,1.0,1.0,-1.0,0.033,0.084,0.0,0.019,0.065,0.006,0.019,0.006,0.013,0.013,0.019,0.013,0.013,0.006,0.019,0.006,0.019,0.013
0.96,1.46,5.1,18.38,-6.48,-4.58,0.0,0.0,0.0,0.221,-5.98,21.97,62.93,-18.98,-7.73,81.3,5.1,18.98,64.25,-6.24,-7.47,102.57,-17.4,16.17,85.69,-9.05,-8.0,82.18,-4.68,20.75,68.69,-27.18,-13.38,85.28,-7.5,20.22,67.72,4.68,-3.94,100.63,-22.68,19.43,81.67,-1.41,0.81,69.76,0.9823,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,0.7906,1.0,1.0,-1.0,-1.0,-0.946,-0.3177,1.0,1.0,-1.0,0.0,0.065,0.006,0.006,0.026,0.013,0.026,0.013,0.006,0.013,0.006,0.006,0.006,0.182,0.006,0.0,0.013,0.006
1.0,1.9,5.58,9.92,9.97,-0.54,0.0,0.0,0.0,0.221,-5.8,22.41,62.84,-20.21,-9.14,82.62,3.69,18.63,63.63,-4.92,-8.17,103.36,-18.54,16.79,85.43,-7.73,-7.38,80.42,-3.18,19.25,70.19,-28.68,-14.88,86.78,-9.0,18.72,69.22,6.18,-2.44,99.13,-24.18,20.93,83.17,0.09,2.31,68.26,1.0,-1.0,1.0,-1.0,-1.0,0.5939,-1.0,-1.0,1.0,0.7243,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.0,0.065,0.006,0.006,0.026,0.013,0.026,0.013,0.006,0.013,0.006,0.006,0.006,0.182,0.006,0.0,0.013,0.006
1.04,2.64,5.13,20.83,-13.16,-18.43,0.0,0.0012,0.0,0.221,-5.19,22.41,63.19,-21.53,-10.55,83.85,2.29,18.28,63.02,-3.43,-7.91,103.8,-20.3,17.75,84.64,-6.33,-6.42,79.45,-1.68,17.75,71.69,-30.18,-16.38,88.28,-10.5,17.22,70.72,7.68,-0.94,97.63,-25.68,22.43,81.67,1.59,3.81,66.76,1.0,-1.0,1.0,-1.0,-0.0541,1.0,-1.0,-1.0,1.0,0.7218,1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,0.065,0.006,0.006,0.026,0.013,0.026,0.013,0.006,0.013,0.006,0.006,0.006,0.182,0.006,0.0,0.013,0.006
1.08,3.11,5.42,15.11,10.34,-13.1,0.0,0.0024,0.0,0.221,-4.66,22.41,63.9,-22.94,-11.95,85.25,0.79,18.11,63.37,-2.02,-7.82,103.89,-21.45,18.98,83.76,-4.83,-5.89,77.61,-0.18,16.25,73.19,-31.68,-17.88,89.78,-12.0,15.72,72.22,9.18,0.56,96.13,-27.18,23.93,80.17,3.09,5.31,65.26,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,1.0,0.3371,1.0,-1.0,-1.0,1.0,-0.2091,1.0,1.0,-1.0,0.033,0.006,0.065,0.033,0.019,0.013,0.019,0.0,0.013,0.013,0.019,0.0,0.033,0.123,0.045,0.006,0.013,0.019
