t_s,roll_deg,pitch_deg,gyro_x_dps,gyro_y_dps,gyro_z_dps,height_ref_mm,vx_ref_mps,vy_ref_mps,max_cur_a,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,act0,act1,act2,act3,act4,act5,act6,act7,act8,act9,act10,act11,act12,act13,act14,act15,act16,act17,cur0_a,cur1_a,cur2_a,cur3_a,cur4_a,cur5_a,cur6_a,cur7_a,cur8_a,cur9_a,cur10_a,cur11_a,cur12_a,cur13_a,cur14_a,cur15_a,cur16_a,cur17_a
0.64,-0.67,2.01,-1.46,-1.02,2.49,0.0,0.0,0.0,0.039,-3.69,-20.04,20.21,6.5,-12.48,20.13,4.13,-20.65,19.86,-8.53,-12.04,17.4,2.29,-20.74,17.75,10.81,-1.58,0.97,0.55,-25.5,25.41,5.27,-18.82,24.39,8.96,-25.5,25.24,-1.5,-16.28,15.56,2.23,-25.59,22.32,16.59,-6.78,-6.02,0.0158,-0.253,-0.1225,0.1506,-0.1937,-0.3081,0.6293,-1.0,-0.123,0.039,0.0051,-0.6457,0.0973,-0.4281,0.2209,0.8741,0.2455,-0.8676,0.019,0.026,0.006,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.006,0.013,0.0,0.019
0.68,-0.63,2.07,1.23,0.76,-1.33,0.0,0.0,0.0,0.039,-3.25,-21.45,21.53,5.27,-13.54,21.53,3.69,-22.06,21.18,-7.12,-12.22,18.11,1.67,-22.24,19.16,11.51,-1.14,-0.44,2.05,-27.0,26.91,6.77,-20.32,25.89,10.46,-27.0,26.74,0.0,-17.78,14.06,0.73,-27.09,23.82,18.09,-8.28,-7.52,0.0819,-0.3183,-0.2222,0.2392,-0.1399,-0.2756,0.5299,-1.0,0.0019,0.2378,-0.0186,-0.7556,-0.068,-0.5726,0.1526,0.8227,0.1124,-1.0,0.019,0.026,0.006,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.006,0.013,0.0,0.019
0.72,-0.61,2.08,-0.29,-0.61,0.7,0.0,0.0,0.0,0.039,-3.43,-22.76,22.94,4.48,-14.77,22.76,3.69,-23.38,22.59,-5.62,-13.18,18.37,1.58,-23.55,20.57,12.83,-1.05,-1.93,3.55,-28.5,28.41,7.23,-21.82,27.39,11.96,-28.5,28.24,1.5,-19.28,12.56,2.23,-28.59,25.32,19.59,-9.78,-9.02,0.1085,-0.322,-0.1122,0.2066,-0.1261,-0.308,0.5387,-1.0,0.0356,0.0553,-0.0312,-0.6302,0.1545,-0.4376,0.0949,0.8482,0.2301,-0.9688,0.019,0.026,0.006,0.0,0.026,0.013,0.013,0.026,0.013,0.013,0.019,0.006,0.006,0.026,0.006,0.013,0.0,0.019
0.76,-0.67,2.03,-1.35,-0.48,0.29,0.0,0.0,0.0,0.039,-3.08,-24.26,24.35,4.22,-16.17,24.17,3.69,-24.87,23.99,-4.22,-14.33,18.37,1.58,-24.96,21.97,14.15,-1.23,-3.34,2.05,-30.0,29.91,5.73,-23.32,28.89,13.46,-30.0,29.74,3.0,-20.78,14.06,3.73,-30.09,26.82,21.09,-8.28,-7.52,-0.0058,-0.3744,-0.0117,0.1236,-0.0816,-0.2663,0.4127,-1.0,0.1769,0.156,0.0512,-0.5062,0.124,-0.4883,0.2391,0.6724,0.3059,-0.8434,0.006,0.026,0.013,0.0,0.026,0.013,0.019,0.033,0.013,0.013,0.019,0.019,0.006,0.019,0.013,0.019,0.019,0.013
0.8,-0.56,2.12,1.75,1.1,-1.68,0.0,0.0,0.0,0.039,-1.67,-25.58,25.84,3.78,-17.49,25.58,4.39,-26.28,25.4,-2.81,-15.64,17.84,1.76,-26.46,23.38,15.64,-1.85,-4.66,0.72,-31.5,31.41,4.23,-24.82,30.39,14.66,-31.5,31.24,4.5,-19.28,15.56,5.23,-31.59,28.32,19.59,-7.19,-6.02,0.0207,-0.3863,0.0968,0.0976,-0.0244,-0.3298,0.4188,-1.0,0.3395,0.1664,0.1741,-0.3821,0.1839,-0.4916,0.2871,0.5173,0.3237,-0.7473,0.006,0.026,0.013,0.0,0.026,0.013,0.019,0.033,0.013,0.013,0.019,0.019,0.006,0.019,0.013,0.019,0.019,0.013
0.84,-0.62,2.07,-1.51,-1.02,1.19,0.0,0.0,0.0,0.039,-1.58,-26.98,27.07,3.69,-18.9,26.98,5.62,-27.6,26.81,-1.41,-16.96,16.88,2.55,-27.77,24.7,16.96,-2.81,-5.8,1.09,-33.0,32.91,2.73,-26.32,31.89,14.26,-33.0,32.74,4.14,-17.78,17.06,6.73,-33.09,29.82,18.09,-5.69,-4.52,0.0312,-0.3882,0.1338,0.0641,-0.0746,-0.3811,0.4076,-1.0,0.4869,0.1184,0.2113,-0.2855,0.2327,-0.3191,0.4492,0.3958,0.5449,-0.5119,0.006,0.026,0.013,0.0,0.026,0.013,0.019,0.033,0.013,0.013,0.019,0.019,0.006,0.019,0.013,0.019,0.019,0.013
0.88,-0.56,2.08,1.4,1.29,-2.65,0.0,0.0,0.0,0.039,0.53,-28.48,28.48,3.87,-20.39,28.39,6.86,-29.0,28.3,0.0,-18.11,16.17,3.52,-29.18,26.19,17.93,-3.96,-6.59,-0.41,-34.5,34.41,1.23,-24.82,30.39,12.76,-34.5,34.24,5.64,-16.28,18.56,6.47,-34.59,31.32,16.59,-4.19,-3.02,-0.019,-0.3651,0.2392,-0.0107,0.1058,-0.4343,0.2805,-1.0,0.6302,0.2108,0.3735,-0.0597,0.1849,-0.4215,0.4904,0.2702,0.5301,-0.5525,0.026,0.026,0.013,0.0,0.019,0.013,0.013,0.033,0.019,0.013,0.013,0.0,0.019,0.019,0.013,0.013,0.026,0.006
0.92,-0.56,2.09,-1.25,-0.97,1.77,0.0,0.0,0.0,0.039,0.53,-29.79,29.97,3.87,-21.71,29.79,8.26,-30.41,29.62,1.41,-18.98,15.64,4.66,-30.59,27.6,18.81,-4.92,-7.12,0.08,-36.0,35.91,2.14,-23.32,28.89,11.26,-36.0,35.74,6.29,-14.78,20.06,7.23,-36.09,32.82,15.09,-2.69,-1.52,0.0022,-0.3982,0.2748,0.0611,0.0768,-0.4728,0.276,-1.0,0.752,0.1797,0.3846,-0.1555,0.2067,-0.2739,0.5678,0.191,0.6752,-0.4113,0.026,0.026,0.013,0.0,0.019,0.013,0.013,0.033,0.019,0.013,0.013,0.0,0.019,0.019,0.013,0.013,0.026,0.006
0.96,-0.57,2.1,-0.37,0.16,0.84,0.0,0.0,0.0,0.039,0.79,-31.29,31.38,3.43,-22.76,30.67,9.67,-31.9,31.03,2.72,-19.6,15.64,5.62,-31.99,29.09,19.25,-5.54,-7.29,-1.42,-37.5,37.41,0.64,-21.82,27.39,9.76,-37.5,37.24,6.01,-13.28,21.56,8.73,-37.59,34.32,13.59,-1.19,-0.02,-0.0673,-0.3783,0.3417,-0.0828,0.2337,-0.6309,0.1688,-0.9699,0.7905,0.1719,0.4231,-0.0849,0.2856,-0.3178,0.5418,0.2059,0.6511,-0.568,0.026,0.026,0.013,0.0,0.019,0.013,0.013,0.033,0.019,0.013,0.013,0.0,0.019,0.019,0.013,0.013,0.026,0.006
1.0,-0.47,2.16,1.85,0.86,-2.72,0.0,0.0,0.0,0.039,1.05,-32.61,32.78,2.02,-23.55,31.38,10.72,-33.31,32.43,4.04,-19.78,15.91,6.59,-33.49,30.41,19.42,-5.89,-7.29,-1.15,-39.0,38.91,-0.86,-20.32,25.89,8.26,-39.0,38.74,7.51,-11.78,23.06,8.91,-39.09,35.82,12.09,0.31,1.48,-0.0329,-0.3719,0.2879,-0.0831,0.2808,-0.6333,0.1419,-1.0,0.8185,0.2492,0.3992,-0.1992,0.2545,-0.3286,0.5629,0.2616,0.6429,-0.5952,0.006,0.026,0.006,0.0,0.013,0.0,0.006,0.026,0.013,0.013,0.006,0.013,0.006,0.026,0.019,0.006,0.006,0.019
1.04,-0.5,2.12,-1.27,-0.81,2.17,0.0,0.0,0.0,0.039,-0.35,-34.1,34.28,1.49,-24.08,31.73,11.6,-34.72,33.84,5.19,-19.69,16.88,7.73,-34.89,31.9,19.07,-5.89,-6.5,-0.06,-40.5,40.41,-2.36,-18.82,24.39,7.17,-40.5,40.24,7.42,-10.28,24.56,9.98,-40.59,37.32,13.59,1.81,2.6,-0.0018,-0.3705,0.202,-0.1506,0.2353,-0.6661,0.2047,-1.0,0.774,0.2121,0.3686,-0.2601,0.2853,-0.3025,0.5428,0.4067,0.626,-0.7341,0.006,0.026,0.006,0.0,0.013,0.0,0.006,0.026,0.013,0.013,0.006,0.013,0.006,0.026,0.019,0.006,0.006,0.019
1.08,-0.46,2.13,1.31,1.06,-1.78,0.0,0.0,0.0,0.039,-0.26,-35.6,35.6,0.62,-24.26,31.73,12.13,-36.12,35.33,6.24,-19.25,17.84,8.35,-36.3,33.31,18.28,-5.62,-5.62,-0.16,-41.36,41.91,-3.86,-17.32,22.89,6.25,-42.0,41.74,8.92,-9.9,26.06,9.29,-42.09,38.82,15.09,0.31,1.1,-0.0047,-0.2974,0.1909,-0.1688,0.403,-0.7073,0.1785,-1.0,0.6673,0.3421,0.2745,-0.4406,0.2654,-0.4539,0.4556,0.5583,0.4432,-1.0,0.006,0.026,0.006,0.0,0.013,0.0,0.006,0.026,0.013,0.013,0.006,0.013,0.006,0.026,0.019,0.006,0.006,0.019
1.12,-0.48,2.16,-1.1,-0.77,3.12,0.0,0.0,0.0,0.039,-1.32,-36.91,37.09,-0.97,-24.26,31.2,12.3,-37.53,36.74,7.12,-18.37,19.16,9.32,-37.71,34.72,17.31,-4.92,-4.39,0.73,-42.86,43.41,-5.36,-15.82,21.39,7.75,-43.5,43.24,10.42,-11.4,24.56,10.79,-43.59,40.32,16.59,0.83,-0.4,0.0209,-0.3405,0.1505,-0.1729,0.2607,-0.6413,0.2698,-1.0,0.5548,0.306,0.1844,-0.5986,0.3574,-0.3887,0.3977,0.7347,0.4696,-1.0,0.033,0.026,0.006,0.013,0.013,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.013
1.16,-0.5,2.21,0.28,0.42,0.27,0.0,0.0,0.0,0.039,-1.23,-38.32,38.41,-1.85,-23.73,30.23,12.3,-39.02,38.06,8.17,-17.14,20.65,9.84,-39.11,36.21,16.26,-3.78,-3.08,-0.49,-42.73,44.91,-6.86,-14.32,19.89,9.25,-45.0,44.74,11.92,-12.9,23.06,12.22,-45.09,41.82,18.09,-0.67,-1.9,-0.014,-0.3224,0.0049,-0.2592,0.3696,-0.6617,0.3248,-1.0,0.4463,0.3456,0.0844,-0.7435,0.3492,-0.5325,0.3563,0.834,0.2731,-1.0,0.033,0.026,0.006,0.013,0.013,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.013
1.2,-0.45,2.26,1.23,0.9,-1.97,0.0,0.0,0.0,0.039,-0.26,-39.73,39.9,-3.34,-22.59,29.27,12.22,-40.43,39.55,9.32,-15.82,21.97,10.55,-40.43,37.62,15.56,-2.55,-2.02,-0.18,-41.23,46.41,-8.36,-12.82,18.39,10.75,-46.5,46.24,10.42,-14.4,21.56,13.72,-46.59,43.32,19.59,-2.17,-3.4,-0.0052,-0.2713,-0.091,-0.2527,0.301,-0.6632,0.3774,-1.0,0.274,0.2965,-0.0232,-0.8984,0.434,-0.4759,0.2563,1.0,0.1829,-1.0,0.033,0.026,0.006,0.013,0.013,0.013,0.0,0.026,0.013,0.019,0.006,0.006,0.013,0.019,0.013,0.013,0.013,0.013
