time/time_elapsed,time/fps,time/iterations,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss,train/loss,train/std,train/policy_gradient_loss,train/n_updates,train/explained_variance,train/approx_kl,train/clip_fraction
123,5051,19,457.9633483886719,622592,400.0,6.162024935086568,0.00015,0.2,0.009548493625819296,-0.013458873145282269,0.18038253486156464,-0.003107185909660378,108,0.9859956502914429,0.026211107,0.3263448079427083
129,5052,20,433.7099304199219,655360,400.0,6.170742362737656,0.00015,0.2,0.009465983205397302,0.0051947603933513165,0.18037326633930206,-0.002088478328611624,114,0.9808933138847351,0.025800455,0.3330841064453125
136,5054,21,405.033203125,688128,400.0,6.183493151019017,0.00015,0.2,0.009496046790445689,-0.0030828583985567093,0.180214986205101,-0.0029619993999100793,120,0.9856377840042114,0.027706418,0.3426869710286458
142,5051,22,425.6925354003906,720896,400.0,6.205905679613352,0.00015,0.2,0.00958174744179511,-0.012680688872933388,0.18002434074878693,-0.0023673062314628623,126,0.9868058562278748,0.026170574,0.3356882731119792
149,5048,23,407.1321105957031,753664,400.0,6.2153363563120365,0.00015,0.2,0.008695302902197,-0.015100901946425438,0.1799425333738327,-0.003860664462990826,132,0.9835289716720581,0.026134856,0.3354899088541667
155,5048,24,400.5743713378906,786432,400.0,6.230955271671216,0.00015,0.2,0.009198975255761374,0.0011967471800744534,0.1798197329044342,-0.003108227857107219,138,0.9857833385467529,0.027035192,0.3392283121744792
162,5050,25,432.9210510253906,819200,400.0,6.258629832416773,0.00015,0.2,0.009601380170352058,0.00032210303470492363,0.17950469255447388,-0.004078276553627802,144,0.9855848550796509,0.02857599,0.3469340006510417
168,5054,26,431.81329345703125,851968,400.0,6.291743889451027,0.00015,0.2,0.008746733371178076,0.001263124868273735,0.17925432324409485,-0.002903720328201113,150,0.98582524061203,0.027825251,0.3395233154296875
174,5056,27,423.50262451171875,884736,400.0,6.324697282165289,0.00015,0.2,0.008286230815429008,0.002855833387002349,0.1789749711751938,-0.0024452925432948782,156,0.9842174053192139,0.026521508,0.3413187662760417
181,5056,28,415.8514404296875,917504,400.0,6.35598527515928,0.00015,0.2,0.008491320761095267,-0.0074408408254384995,0.17870447039604187,-0.0027895575515988944,162,0.9851748943328857,0.02872742,0.3467356363932292
187,5057,29,439.8096923828125,950272,400.0,6.3877578402558965,0.00015,0.2,0.00832646357351526,-0.020460588857531548,0.17839846014976501,-0.003258848871458516,168,0.9885513782501221,0.028639311,0.3453420003255208
194,5061,30,416.7320556640625,983040,400.0,6.423295456916094,0.00015,0.2,0.008051251484478902,-0.0034103998914361,0.1781236231327057,-0.0018983201637941722,174,0.985693097114563,0.027058663,0.3385111490885417
