t_s,tick,seg,phase,joint,t_send_s,t_recv_s,overrun,q0_deg,q1_deg,q2_deg,q3_deg,q4_deg,q5_deg,q6_deg,q7_deg,q8_deg,q9_deg,q10_deg,q11_deg,q12_deg,q13_deg,q14_deg,q15_deg,q16_deg,q17_deg,cmd0_deg,cmd1_deg,cmd2_deg,cmd3_deg,cmd4_deg,cmd5_deg,cmd6_deg,cmd7_deg,cmd8_deg,cmd9_deg,cmd10_deg,cmd11_deg,cmd12_deg,cmd13_deg,cmd14_deg,cmd15_deg,cmd16_deg,cmd17_deg,cur_a,load_pct,volt,temp_c
0.4017,-29,-1,glide,-1,0.4017,0.4110,0,3.340,1.494,1.758,0.879,1.758,1.055,0.352,-0.088,0.352,-0.791,1.670,1.055,0.791,-0.352,1.055,0.703,1.494,0.967,1.194,1.788,1.694,1.391,1.893,1.389,0.966,-0.887,1.355,-1.133,1.788,1.373,1.133,-0.920,1.358,1.266,1.713,1.514,0.006,3.2,12.00,32.0
0.4417,-28,-1,glide,-1,0.4417,0.4510,0,1.582,1.670,1.758,1.143,1.758,1.318,0.615,-0.439,0.703,-0.967,1.670,1.230,0.791,-0.615,1.230,1.318,1.494,1.230,0.686,1.815,1.688,1.440,1.914,1.478,1.123,-1.119,1.615,-1.256,1.815,1.470,1.256,-1.098,1.461,1.410,1.734,1.623,0.006,3.2,12.00,32.0
0.4817,-27,-1,glide,-1,0.4817,0.4911,0,1.582,1.670,1.758,1.230,1.758,1.318,0.791,-0.703,1.055,-1.143,1.670,1.318,1.055,-0.703,1.230,1.055,1.494,1.406,0.308,1.836,1.683,1.476,1.929,1.545,1.240,-1.292,1.808,-1.347,1.836,1.541,1.347,-1.230,1.538,1.517,1.750,1.704,0.000,2.0,12.00,32.0
0.5217,-26,-1,glide,-1,0.5217,0.5310,0,0.879,1.670,1.758,1.230,1.758,1.494,0.879,-0.967,1.318,-1.143,1.670,1.494,1.143,-0.703,1.582,1.494,1.582,1.494,0.090,1.848,1.680,1.496,1.938,1.583,1.307,-1.391,1.919,-1.400,1.848,1.582,1.400,-1.306,1.582,1.579,1.758,1.751,0.000,2.0,12.00,32.0
0.5617,-25,-1,glide,-1,0.5617,0.5710,0,0.176,1.670,1.758,1.230,1.758,1.494,0.879,-1.143,1.494,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,2.0,12.00,32.0
0.6017,-24,-1,glide,-1,0.6017,0.6110,0,0.352,1.670,1.758,1.230,1.758,1.494,1.055,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.143,1.582,1.318,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.6417,-23,-1,glide,-1,0.6417,0.6510,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.143,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.230,1.582,1.846,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.6817,-22,-1,glide,-1,0.6817,0.6910,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.318,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.7233,-21,-1,glide,-1,0.7233,0.7316,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.846,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
0.7617,-20,-1,glide,-1,0.7617,0.7709,0,0.176,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
0.8017,-19,-1,glide,-1,0.8017,0.8108,0,0.176,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.406,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
0.8417,-18,-1,glide,-1,0.8417,0.8508,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.846,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.8817,-17,-1,glide,-1,0.8817,0.8906,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.318,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.9217,-16,-1,glide,-1,0.9217,0.9305,0,-0.176,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.758,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
0.9617,-15,-1,glide,-1,0.9617,0.9706,0,0.439,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.0017,-14,-1,glide,-1,1.0017,1.0106,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.406,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.0417,-13,-1,glide,-1,1.0417,1.0507,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.846,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.0817,-12,-1,glide,-1,1.0817,1.0905,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.406,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.1217,-11,-1,glide,-1,1.1217,1.1307,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.1617,-10,-1,glide,-1,1.1617,1.1707,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.2017,-9,-1,glide,-1,1.2017,1.2106,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.2417,-8,-1,glide,-1,1.2417,1.2507,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.2817,-7,-1,glide,-1,1.2817,1.2905,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.3217,-6,-1,glide,-1,1.3217,1.3311,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.758,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.3617,-5,-1,glide,-1,1.3617,1.3711,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.4017,-4,-1,glide,-1,1.4017,1.4111,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.000,3.2,12.00,32.0
1.4417,-3,-1,glide,-1,1.4417,1.4510,0,0.000,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.4817,-2,-1,glide,-1,1.4817,1.4910,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.5217,-1,-1,glide,-1,1.5217,1.5308,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.5419,0,0,move,-1,1.5419,1.5512,0,-0.088,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,0.050,1.850,1.680,1.500,1.940,1.590,1.320,-1.410,1.940,-1.410,1.850,1.590,1.410,-1.320,1.590,1.590,1.760,1.760,0.006,3.2,12.00,32.0
1.5786,1,0,move,-1,1.5786,1.5880,0,0.352,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.670,1.582,1.230,-1.055,1.582,1.582,1.670,1.494,1.110,3.350,3.180,3.000,3.440,3.090,2.820,-2.910,3.440,-1.750,3.350,3.090,2.910,-2.820,3.090,3.090,3.260,3.260,0.006,3.2,12.00,32.0
1.6171,2,0,move,-1,1.6171,1.6264,0,-0.264,1.670,1.758,1.230,1.758,1.494,1.230,-1.143,1.670,-1.406,1.758,1.582,1.230,-1.055,1.582,1.670,1.670,1.494,1.150,4.850,4.680,4.500,4.940,4.590,4.320,-4.200,4.940,-1.310,4.850,4.590,4.410,-4.320,4.590,4.590,4.760,4.760,0.006,3.2,12.00,32.0
1.6571,3,0,move,-1,1.6571,1.6667,0,0.791,2.109,1.758,1.582,2.197,2.021,1.494,-1.670,1.934,-1.670,2.197,2.109,1.846,-1.582,2.021,1.846,1.758,1.934,1.440,6.350,6.180,6.000,6.440,6.090,5.820,-5.700,6.440,-1.220,6.350,6.090,5.530,-5.820,6.090,6.090,6.260,6.260,0.013,7.6,12.00,32.0
1.6971,4,0,move,-1,1.6971,1.8609,0,1.670,5.889,5.625,5.361,5.977,5.889,5.186,-5.449,5.801,-1.143,5.977,5.977,5.361,-5.537,5.889,5.361,5.713,5.625,1.970,7.850,7.680,7.500,7.940,7.590,7.320,-7.200,7.940,-2.280,7.850,7.590,6.990,-7.320,7.590,7.590,7.280,7.760,0.006,6.8,12.00,32.0
1.8719,5,0,move,-1,1.8719,1.8813,1,1.758,6.064,5.801,5.537,6.240,5.889,5.361,-5.537,5.977,-1.143,6.152,5.977,5.449,-5.625,5.977,5.801,5.977,5.625,2.170,9.350,9.180,9.000,9.440,9.090,8.820,-8.700,9.440,-3.110,9.350,9.090,7.440,-8.820,9.090,9.090,6.810,9.260,0.006,6.8,12.00,32.0
1.8823,6,0,move,-1,1.8823,1.8917,1,1.582,6.152,5.889,5.625,6.328,6.064,5.449,-5.537,6.064,-1.230,6.240,5.977,5.449,-5.625,5.977,6.064,6.064,5.713,2.380,10.850,10.680,10.500,10.940,10.590,10.320,-9.870,10.940,-2.610,10.850,10.590,7.590,-10.320,10.590,10.590,6.700,10.760,0.006,6.8,12.00,32.0
1.8927,7,0,move,-1,1.8927,1.9020,1,1.406,6.240,5.977,5.713,6.416,6.152,5.537,-5.625,6.152,-1.230,6.240,6.064,5.449,-5.713,5.977,6.328,6.152,5.801,2.410,12.350,12.180,12.000,12.440,12.090,10.680,-8.370,12.440,-2.340,12.350,12.090,7.670,-8.910,12.090,12.090,6.800,12.260,0.006,6.8,12.00,32.0
1.9031,8,0,move,-1,1.9031,1.9118,1,1.143,6.328,6.064,5.801,6.416,6.240,5.625,-5.713,6.240,-1.406,6.328,6.152,5.537,-5.801,6.064,6.504,6.240,5.977,2.610,13.470,13.680,12.130,13.940,13.590,10.730,-6.870,13.940,-1.870,13.850,13.590,7.820,-7.790,13.590,13.560,6.860,13.760,0.006,6.8,12.00,32.0
1.9128,9,0,move,-1,1.9128,1.9220,0,1.230,6.504,6.152,5.977,6.592,6.416,5.713,-5.801,6.328,-1.494,6.504,6.328,5.625,-5.889,6.240,6.504,6.240,6.152,2.750,13.540,15.180,11.870,15.280,15.090,10.680,-5.370,15.440,-1.400,14.700,15.090,7.870,-6.950,15.090,13.460,6.950,15.260,0.006,6.8,12.00,32.0
1.9371,10,0,move,-1,1.9371,1.9465,0,2.021,6.768,6.504,6.328,6.855,6.768,6.064,-6.152,6.680,-1.934,6.855,6.768,5.977,-6.328,6.855,6.504,6.504,6.504,2.850,13.650,16.680,11.590,15.540,16.590,10.570,-3.870,16.940,-1.070,15.420,16.590,7.760,-6.010,16.590,13.380,7.220,16.760,0.006,6.8,12.00,32.0
1.9769,11,0,move,-1,1.9769,1.9862,0,2.812,7.559,7.207,7.031,7.646,7.646,6.855,-6.592,7.383,-2.197,7.559,7.646,6.855,-6.943,7.646,7.471,6.768,7.295,2.930,13.720,18.180,11.130,15.600,18.090,10.370,-2.370,18.440,-0.590,15.960,18.090,7.480,-4.780,18.090,12.910,7.530,18.260,0.013,11.2,12.00,32.0
2.0171,12,0,move,-1,2.0171,2.0262,0,2.549,8.525,8.174,7.998,8.701,8.701,7.822,-6.416,8.438,-2.197,8.613,8.789,7.383,-7.031,8.789,8.789,6.768,8.350,2.960,13.780,19.680,10.460,15.830,19.590,9.950,-0.870,19.940,-0.150,16.600,19.590,6.960,-3.280,19.590,12.160,7.980,19.760,0.013,11.2,12.00,32.0
2.0571,13,0,move,-1,2.0571,2.0664,0,3.164,9.844,9.492,9.141,9.932,10.107,8.789,-5.977,9.668,-1.582,9.844,10.107,7.559,-6.680,10.107,9.844,7.119,9.580,2.940,13.980,21.180,9.500,16.130,21.090,9.330,0.630,21.440,0.350,17.260,21.090,6.150,-1.780,21.090,10.870,8.550,21.260,0.013,11.2,12.00,32.0
2.0971,14,0,move,-1,2.0971,2.1064,0,2.637,11.162,10.898,9.932,11.426,11.602,9.404,-5.098,11.074,-0.264,11.250,11.602,7.295,-5.977,11.602,11.162,7.559,10.898,2.740,14.150,22.680,8.350,16.310,22.590,8.470,2.130,22.940,0.930,17.680,22.590,5.100,-0.280,22.590,9.370,9.210,22.760,0.026,14.8,12.00,32.0
2.1371,15,0,move,-1,2.1371,2.1465,0,2.812,12.217,12.305,10.547,12.744,12.920,9.932,-3.955,12.480,-0.264,12.656,13.008,6.592,-4.922,13.008,11.865,7.998,12.305,2.390,14.210,24.180,6.960,16.260,24.090,7.420,3.630,24.440,1.470,17.800,24.090,3.950,1.220,24.090,7.870,9.810,24.260,0.026,14.8,12.00,32.0
2.1769,16,0,move,-1,2.1769,2.1862,0,2.637,13.096,13.711,10.723,13.975,14.414,10.020,-2.637,13.887,0.527,14.062,14.414,5.713,-3.779,14.414,12.305,8.438,13.623,1.770,13.980,25.680,5.460,15.890,25.590,6.190,5.130,25.940,2.040,17.490,25.590,2.770,2.720,25.590,6.370,10.480,25.760,0.026,14.8,12.00,32.0
2.2171,17,0,move,-1,2.2171,2.2266,0,2.021,13.711,15.117,10.635,14.941,15.908,10.020,-1.055,15.293,1.406,15.205,15.732,4.746,-2.197,15.820,12.480,9.053,15.029,0.930,13.350,27.180,3.960,15.020,27.090,4.910,6.630,27.440,2.590,16.530,27.090,1.950,4.220,27.090,4.870,11.060,27.260,0.026,15.2,12.00,32.0
2.2571,18,0,move,-1,2.2571,2.2665,0,2.109,13.975,16.699,10.635,15.645,17.227,9.316,0.264,16.787,1.494,15.996,17.139,3.691,-0.879,17.314,12.217,9.580,16.348,0.240,12.710,28.680,2.460,14.230,28.590,3.860,8.130,28.940,2.880,15.600,28.590,1.580,5.720,28.590,3.370,11.630,28.760,0.026,15.2,12.00,32.0
2.2969,19,0,move,-1,2.2969,2.3061,0,0.967,13.975,17.842,9.668,16.084,18.633,8.086,1.758,18.105,2.373,16.963,18.545,2.812,0.439,18.633,11.777,10.020,17.754,-0.220,12.470,30.180,0.960,13.990,30.090,3.170,9.630,30.440,2.910,15.090,30.090,1.390,7.220,30.090,1.870,12.270,30.260,0.026,15.2,12.00,32.0
2.3371,20,0,move,-1,2.3371,2.3465,0,0.615,13.623,19.424,7.646,16.084,20.127,6.855,3.164,19.512,2.725,17.402,19.951,2.109,1.758,20.039,10.723,10.547,19.072,-0.360,12.590,31.680,0.600,14.180,31.590,2.760,11.130,31.940,2.800,15.010,31.590,1.480,8.720,31.590,0.370,12.740,31.760,0.033,17.2,11.90,32.0
2.3771,21,0,move,-1,2.3771,2.3865,0,0.088,13.184,20.830,6.943,15.908,21.533,5.625,4.570,20.918,2.637,17.402,21.357,1.582,3.164,21.270,9.492,10.986,20.479,-0.360,13.120,33.180,0.610,14.640,33.090,2.650,12.630,33.440,2.520,15.220,33.090,1.630,10.220,33.090,-1.130,13.180,33.260,0.033,17.2,11.90,32.0
2.4171,22,0,move,-1,2.4171,2.4264,0,-0.703,13.008,22.236,5.713,15.293,23.027,4.570,5.977,22.412,2.637,17.139,22.676,1.494,4.307,22.588,8.174,11.514,21.797,-0.350,13.800,34.680,0.660,15.190,34.590,2.610,14.130,34.940,2.280,15.570,34.590,1.600,11.720,34.590,-1.310,13.600,34.760,0.033,17.2,11.90,32.0
2.4569,23,0,move,-1,2.4569,2.4663,0,0.000,12.920,23.643,3.252,14.766,24.434,3.691,7.383,23.730,2.637,16.436,24.082,1.494,5.625,23.994,6.768,11.953,23.203,-0.320,14.460,36.180,0.730,15.740,36.090,2.550,15.630,36.440,2.060,16.000,36.090,1.560,13.220,36.090,-1.350,14.030,36.260,0.045,19.2,11.90,32.0
2.4971,24,0,move,-1,2.4971,2.5064,0,-0.352,12.832,24.961,2.988,14.678,25.752,3.076,8.789,25.225,2.285,15.820,25.488,1.494,6.855,25.312,5.361,12.305,24.434,-0.220,15.050,37.680,0.850,16.130,37.590,2.520,17.130,37.940,1.900,16.410,37.590,1.620,14.720,37.590,-1.400,14.470,37.760,0.045,19.2,11.90,32.0
2.5371,25,0,move,-1,2.5371,2.5464,0,-0.439,13.535,26.367,2.197,14.766,27.158,2.812,10.195,26.631,1.934,15.469,26.895,1.494,8.086,26.543,4.043,12.656,25.840,-0.260,15.560,39.180,0.930,16.350,39.090,2.680,18.630,39.440,1.810,16.550,39.090,1.480,16.220,39.090,-1.170,14.720,39.260,0.045,19.2,11.90,32.0
2.5771,26,0,move,-1,2.5771,2.5864,0,-0.527,14.150,27.598,0.703,15.293,28.652,2.725,11.514,27.949,1.670,15.469,28.301,1.318,9.229,27.861,2.637,12.920,27.246,-0.250,15.950,40.680,1.000,16.720,40.590,2.600,19.820,40.940,1.730,16.880,40.590,1.400,17.550,40.590,-1.150,15.090,40.760,0.078,21.2,11.80,32.0
2.6171,27,0,move,-1,2.6171,2.6264,0,-0.527,14.678,28.916,1.230,15.732,29.971,2.725,13.008,29.268,1.582,15.645,29.619,1.230,10.459,29.180,1.406,13.184,28.564,-0.150,16.390,42.180,1.210,16.920,42.090,2.820,19.930,42.440,1.660,17.000,42.090,1.530,17.650,42.090,-0.870,15.210,42.260,0.078,21.2,11.80,32.0
2.6571,28,0,move,-1,2.6571,2.6664,0,-0.527,15.117,30.410,1.318,15.732,31.377,2.725,14.414,30.586,1.582,16.084,30.938,1.318,11.689,30.498,0.439,13.359,29.883,0.020,16.810,43.680,1.410,17.220,43.590,3.060,20.150,43.940,1.560,17.270,43.590,1.690,17.790,43.590,-0.530,15.380,43.760,0.078,21.2,11.80,32.0
2.6971,29,0,move,-1,2.6971,2.7065,0,-0.352,15.469,31.729,1.318,16.348,32.783,2.725,15.820,32.080,1.582,16.260,32.344,1.406,13.008,31.816,-0.264,13.535,31.201,0.150,17.170,45.180,1.550,17.550,45.090,3.210,20.470,45.440,1.460,17.560,45.090,1.790,18.000,45.090,-0.250,15.600,45.260,0.111,22.8,11.80,47.0
