rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/entropy_loss,train/n_updates,train/std,train/learning_rate,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/explained_variance,train/policy_gradient_loss
459.6274108886719,57,300.0,3974,229376,14,0.006388204754330218,1.7715111132711172,130,0.21918082237243652,0.0003,0.3718994140625,-0.041181325912475586,0.03519015,0.2,0.9726243019104004,-0.02632706533477176
436.95257568359375,62,300.0,3907,245760,15,0.007419718363962602,1.7977143224328755,140,0.2188655287027359,0.0003,0.3849853515625,-0.036000292748212814,0.034936838,0.2,0.9691849946975708,-0.0243894141385681
466.6112060546875,67,300.0,3856,262144,16,0.005964339117053896,1.835513661056757,150,0.21842791140079498,0.0003,0.370306396484375,-0.04500686749815941,0.03424023,0.2,0.9677449464797974,-0.0256488334867754
483.5694885253906,73,300.0,3812,278528,17,0.005803478215239011,1.8619195275008678,160,0.21805450320243835,0.0003,0.372515869140625,-0.033314935863018036,0.03295598,0.2,0.9793733358383179,-0.025090083830582442
481.0989990234375,78,300.0,3776,294912,18,0.004762189130269689,1.9046167854219676,170,0.217502623796463,0.0003,0.382330322265625,-0.04438340663909912,0.037833214,0.2,0.982851505279541,-0.026416713271464685
460.3948974609375,83,300.0,3740,311296,19,0.00459897930486477,1.9528639875352383,180,0.216891348361969,0.0003,0.389202880859375,-0.029965028166770935,0.035488844,0.2,0.9861882925033569,-0.024258578103035687
465.6048583984375,88,300.0,3712,327680,20,0.00499222049547825,2.00330438837409,190,0.21641366183757782,0.0003,0.39437255859375,-0.022646503522992134,0.037775595,0.2,0.98264479637146,-0.023542617916245945
474.6044616699219,93,300.0,3683,344064,21,0.0047591390837624205,2.0114771872758865,200,0.2162836343050003,0.0003,0.37998046875,-0.05031127855181694,0.035905823,0.2,0.9872346520423889,-0.026280512123776134
459.5391540527344,98,300.0,3655,360448,22,0.004639729403425008,2.024916894733906,210,0.21613751351833344,0.0003,0.3943603515625,-0.02334461733698845,0.038420826,0.2,0.9862938523292542,-0.025580748001812027
460.9899597167969,103,300.0,3626,376832,23,0.005056794881238602,2.0493067651987076,220,0.21589697897434235,0.0003,0.397564697265625,-0.03866985812783241,0.040096864,0.2,0.9818271398544312,-0.025140972407825757
474.5756530761719,109,300.0,3598,393216,24,0.0037317685419111513,2.071841972321272,230,0.21558384597301483,0.0003,0.401446533203125,-0.03424064442515373,0.03841377,0.2,0.9859816431999207,-0.026473988880752586
482.0284729003906,114,300.0,3571,409600,25,0.004086637684667949,2.117839102447033,240,0.21495243906974792,0.0003,0.400482177734375,-0.043995704501867294,0.040360637,0.2,0.9881820678710938,-0.025092004697944502
470.9989929199219,119,300.0,3560,425984,26,0.003585362690500915,2.13759323656559,250,0.21496203541755676,0.0003,0.401739501953125,-0.042548373341560364,0.038953073,0.2,0.9911653995513916,-0.026306629823375262
466.4884033203125,124,300.0,3564,442368,27,0.004045979560760316,2.1734017178416254,260,0.2144032120704651,0.0003,0.411712646484375,-0.04477608576416969,0.042739548,0.2,0.9865346550941467,-0.02438511595973978
477.0413818359375,128,300.0,3567,458752,28,0.004001294926274568,2.2087020955979826,270,0.213901087641716,0.0003,0.414190673828125,-0.0450698547065258,0.042496283,0.2,0.9882637858390808,-0.025872305686061737
482.4508056640625,133,300.0,3565,475136,29,0.00315797335060779,2.2551382564008238,280,0.2134278416633606,0.0003,0.4135009765625,-0.03932501748204231,0.040036526,0.2,0.9891287684440613,-0.025784492135426263
471.93206787109375,138,300.0,3560,491520,30,0.0033818124560639263,2.2943147949874403,290,0.21294191479682922,0.0003,0.4154052734375,-0.038830552250146866,0.041195057,0.2,0.989212691783905,-0.026554414848942543
