time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,train/clip_range,train/n_updates,train/loss,train/entropy_loss,train/value_loss,train/std,train/explained_variance,train/learning_rate,train/clip_fraction,train/policy_gradient_loss,train/approx_kl
327680,20,70,400.0,4675,459.1007080078125,0.2,190,0.00029290560632944107,6.178718647360801,0.0076221642331802284,0.18019120395183563,0.9851540327072144,0.0003,0.556280517578125,-0.0060883124591782686,0.083820134
344064,21,73,400.0,4683,481.3519287109375,0.2,200,-0.03368905559182167,6.1787488728761675,0.00608274505357258,0.18029175698757172,0.984333336353302,0.0003,0.554705810546875,-0.008420385019417154,0.08680618
360448,22,76,400.0,4689,519.3277587890625,0.2,210,-0.03389944136142731,6.1728235825896265,0.0055808605269703545,0.18037128448486328,0.9862467646598816,0.0003,0.549627685546875,-0.01005208735296037,0.08235176
376832,23,80,400.0,4684,522.34619140625,0.2,220,-0.026378799229860306,6.184524139761924,0.004370077577186748,0.18013449013233185,0.9857971668243408,0.0003,0.557574462890625,-0.010037906041543466,0.0880657
393216,24,83,400.0,4690,517.835205078125,0.2,230,-0.0254801157861948,6.218523633480072,0.0061150103239924645,0.17991866171360016,0.9886342883110046,0.0003,0.56431884765625,-0.011017283220280661,0.08856958
409600,25,87,400.0,4692,509.4178161621094,0.2,240,-0.02650638110935688,6.274921493232251,0.004573468912712997,0.17921137809753418,0.9866155982017517,0.0003,0.574078369140625,-0.008024177315746783,0.09455368
425984,26,90,400.0,4694,495.7886962890625,0.2,250,-0.026370864361524582,6.304376488924026,0.004868566930235829,0.17926275730133057,0.9876807928085327,0.0003,0.57568359375,-0.007541879442578647,0.09460953
442368,27,94,400.0,4695,511.0116882324219,0.2,260,-0.0216504093259573,6.346877044439315,0.0048311661972547885,0.17875424027442932,0.9840622544288635,0.0003,0.56788330078125,-0.006366767136933049,0.088030174
458752,28,97,400.0,4695,478.9765625,0.2,270,-0.029610902070999146,6.386486603319645,0.004117699133348651,0.17848464846611023,0.9874215722084045,0.0003,0.582073974609375,-0.01035269748826977,0.09200019
475136,29,101,400.0,4702,469.1543884277344,0.2,280,-0.012281709350645542,6.3982864767313,0.006168787804199383,0.17840109765529633,0.9880462884902954,0.0003,0.593243408203125,-0.004482529040251393,0.0980372
491520,30,104,400.0,4706,480.0747985839844,0.2,290,-0.014348672702908516,6.430500271916389,0.005142908122797963,0.1779845952987671,0.9863633513450623,0.0003,0.58773193359375,-0.00544256309440243,0.09245646
507904,31,107,400.0,4716,511.5311279296875,0.2,300,-0.013449088670313358,6.459902548789978,0.0045165203096985355,0.17780254781246185,0.9886027574539185,0.0003,0.588348388671875,-0.007633611478377133,0.09969299
524288,32,111,400.0,4717,522.52685546875,0.2,310,-0.010355633683502674,6.4925846949219705,0.0045234112396428825,0.17761698365211487,0.9840048551559448,0.0003,0.58563232421875,-0.005986112557002344,0.09562318
540672,33,114,400.0,4716,501.1966857910156,0.2,320,-0.03037145733833313,6.50732174962759,0.004637652353267185,0.17749063670635223,0.9882997870445251,0.0003,0.5847900390625,-0.005850664440367836,0.09769718
557056,34,118,400.0,4712,479.50018310546875,0.2,330,-0.0032217809930443764,6.523482879996299,0.0060180764616234225,0.17728111147880554,0.9842036366462708,0.0003,0.5978271484375,-0.00879895136677078,0.105004236
573440,35,121,400.0,4710,489.0156555175781,0.2,340,-0.03850436210632324,6.532526502013207,0.005277969672897597,0.17730741202831268,0.9867596626281738,0.0003,0.58980712890625,-0.006131131477741292,0.09570279
589824,36,125,400.0,4713,517.7305297851562,0.2,350,-0.015197621658444405,6.561114276945591,0.00525862668218906,0.17694811522960663,0.9877249002456665,0.0003,0.59359130859375,-0.005871896816097432,0.10621075
606208,37,128,400.0,4720,532.135498046875,0.2,360,-0.0018642701907083392,6.591744229197502,0.003495678965555271,0.17682531476020813,0.9896522760391235,0.0003,0.589263916015625,-0.004452329020568868,0.10082366
622592,38,131,400.0,4727,528.4033203125,0.2,370,0.0015671487199142575,6.608429938554764,0.004397774736571591,0.17650748789310455,0.984214186668396,0.0003,0.579290771484375,-0.005646084110776428,0.10076054
638976,39,135,400.0,4732,530.804931640625,0.2,380,-0.02496524527668953,6.643200348317623,0.004560272562957835,0.17634280025959015,0.9826355576515198,0.0003,0.5951904296875,-0.006497657596628415,0.10252701
655360,40,138,400.0,4737,513.8384399414062,0.2,390,-0.02650221437215805,6.674124404788017,0.0038818268825707492,0.1759752482175827,0.9870586395263672,0.0003,0.596954345703125,-0.007630306044302415,0.10148775
671744,41,141,400.0,4742,504.5050048828125,0.2,400,-0.025029808282852173,6.694578339159489,0.004947665764484554,0.1759757548570633,0.9882068037986755,0.0003,0.601806640625,-0.004439842434658203,0.10249418
688128,42,144,400.0,4747,502.4400634765625,0.2,410,-0.01858524978160858,6.699411460757256,0.004609839799377369,0.17588186264038086,0.986125648021698,0.0003,0.59361572265625,-0.007554421708482551,0.102391556
704512,43,148,400.0,4750,491.7635192871094,0.2,420,-0.007382855284959078,6.71639484167099,0.003932258624990937,0.17577223479747772,0.9890149235725403,0.0003,0.597174072265625,-0.006566146631666925,0.107866265
720896,44,151,400.0,4753,508.44305419921875,0.2,430,-0.007058741524815559,6.740049092471599,0.004215436493541347,0.17540580034255981,0.9836235642433167,0.0003,0.607440185546875,-0.0053897018726274835,0.11075987
737280,45,155,400.0,4752,512.5772094726562,0.2,440,-0.016157476231455803,6.768409289419651,0.004099498771392973,0.17531538009643555,0.9837890267372131,0.0003,0.5970947265625,-0.004026352206710726,0.102566995
753664,46,158,400.0,4747,502.0723876953125,0.2,450,-0.033725131303071976,6.772385680675507,0.0037700903885706794,0.1752040684223175,0.9880292415618896,0.0003,0.613189697265625,-0.0055213575549714735,0.113212034
770048,47,162,400.0,4748,496.321533203125,0.2,460,-0.023301512002944946,6.810679955780506,0.004866327851777897,0.17480997741222382,0.9855716824531555,0.0003,0.625927734375,-0.0033663392074231523,0.13425615
786432,48,165,400.0,4747,499.9913330078125,0.2,470,-0.01996561698615551,6.852641718089581,0.003601878782501444,0.1745389699935913,0.9851057529449463,0.0003,0.624951171875,-0.00313150382207823,0.1233757
802816,49,169,400.0,4745,508.5124206542969,0.2,480,-0.04353282228112221,6.872174841165543,0.003774450514902128,0.17442180216312408,0.9888462424278259,0.0003,0.610723876953125,-0.008064932860725094,0.111748755
819200,50,172,400.0,4748,528.5949096679688,0.2,490,-0.026494190096855164,6.914962214231491,0.0030958658469899094,0.17399932444095612,0.9908026456832886,0.0003,0.61273193359375,-0.0020934825035510583,0.12410832
835584,51,175,400.0,4751,536.4796142578125,0.2,500,-0.019849862903356552,6.952719810605049,0.003553863054185058,0.1737128496170044,0.9880813956260681,0.0003,0.614349365234375,-0.004697428159852279,0.11718919
851968,52,179,400.0,4752,523.6727294921875,0.2,510,-0.01920255273580551,6.966301339864731,0.004004401098791277,0.17380774021148682,0.9802490472793579,0.0003,0.616241455078125,-0.006902956645353698,0.11393468
